Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p09t02.csv,,,,,,,,,,,,
"Table 2: Number of sentenced prisoners admitted into and released from state and federal jurisdiction, 2000-2009",,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,,,,
 ,,,,,,,,,,,,
"Table 2. Number of sentenced prisoners admitted into and released from state and federal jurisdiction, 2000-2009",,,,,,,,,,,,
,Admissions,,,,,,Releases,,,,,
Year,Total,,Federal,,State,,Total,,Federal,,State,
2000,"625,219",,"43,732",,"581,487",,"604,858",,"35,259",,"569,599",
2001,"638,978",,"45,140",,"593,838",,"628,626",,"38,370",,"590,256",
2002,"661,712",,"48,144",,"613,568",,"630,176",,"42,339",,"587,837",
2003,"686,437",,"52,288",,"634,149",,"656,384",,"44,199",,"612,185",
2004,"699,812",,"52,982",,"646,830",,"672,202",,"46,624",,"625,578",
2005,"733,009",,"56,057",,"676,952",,"701,632",,"48,323",,"653,309",
2006,"749,798",,"57,495",,"692,303",,"713,473",,"47,920",,"665,553",
2007,"742,875",,"53,618",,"689,257",,"721,161",,"48,764",,"672,397",
2008,"744,616",,"53,662",,"690,954",,"735,454",,"52,348",,"683,106",
2009,"730,860",,"56,153",,"674,707",,"729,295",,"50,720",,"678,575",
"Average annual change, 2000-2008",2.2,%,2.6,%,2.2,%,2.5,%,5.1,%,2.3,%
"Percent change, 2008-2009",-1.8,,4.6,,-2.4,,-0.8,,-3.1,,-0.7,
"Note: Totals based on prisoners with sentences of more than 1 year. Totals exclude transfers, escapes, and those absent without leave (AWOL).",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
