Bureau of Justice Statistics,,,
Filename: p09t04.csv,,,
"Table 4: Number of sentenced prisoners released from state prisons, by type of release, 2000-2009",,,
Report title: Prisoners in 2009 NCJ 231675,,,
"Data source: National Prisoner Statistics, 1b",,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,
"Date of version: July 12, 2011",,,
 ,,,
"Table 4. Number of sentenced prisoners released from state prisons, by type of release, 2000-2009",,,
,Releases,,
Year,Total/a,Conditional/b ,Unconditional/c
2000,"569,599","425,887","118,886"
2001,"590,256","437,251","130,823"
2002,"587,837","440,842","127,389"
2003,"612,185","442,168","127,386"
2004,"625,578","480,727","123,147"
2005,"653,309","495,370","133,943"
2006,"665,553","497,801","148,114"
2007,"672,397","504,181","152,589"
2008,"683,106","505,168","165,568"
2009,"678,575","504,057","161,606"
"a/Totals based on prisoners with a sentence of more than 1 year. Totals exclude transfers, escapes, and those absent without leave (AWOL).",,,
"b/Total conditional releases include releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,
"c/Total unconditional releases include expirations of sentence, commutations, and other unconditional releases.",,,
