Bureau of Justice Statistics,,,,,,,,
Filename: p10at03.csv,,,,,,,,
"Appendix Table 3. Female prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 01/12/2012,,,,,,,,
,,,,,,,,
"Appendix Table 3. Female prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
,,Number of female prisoners,,,"Average annual change, 2000–2009 ",,"Percent change, 2009–2010",
Region and jurisdiction,,2000,2009,2010,,,,
U.S. total,,"93,234","113,437","113,333",2,%,-0.1,%
,Federal/a,"10,245","13,625","13,549",3.2,,-0.6,
,State,"82,989","99,812","99,784",2.1,,0,
Northeast,,"9,082","9,287","8,811",0,%,-5.1,%
,Connecticut/b,"1,406","1,335","1,246",-0.6,,-6.7,
,Maine,66,158,166,10.2,,5.1,
,Massachusetts,663,719,765,0.9,,6.4,
,New Hampshire,120,167,201,3.7,,20.4,
,New Jersey,"1,650","1,206","1,136",-3.4,,-5.8,
,New York,"3,280","2,489","2,218",-3,,-10.9,
,Pennsylvania,"1,579","2,828","2,712",6.7,,-4.1,
,Rhode Island/b,238,230,218,-0.4,,-5.2,
,Vermont/b,80,155,149,7.6,,-3.9,
Midwest,,"14,598","17,455","18,055",2,%,3.4,%
,Illinois,"2,849","2,590","2,922",-1.1,,12.8,
,Indiana,"1,452","2,506","2,506",6.3,,0,
,Iowa,592,723,780,2.2,,7.9,
,Kansas,504,565,623,1.3,,10.3,
,Michigan,"2,131","1,755","1,869",-2.1,,6.5,
,Minnesota,368,674,638,7,,-5.3,
,Missouri,"1,993","2,427","2,460",2.2,,1.4,
,Nebraska,266,366,411,3.6,,12.3,
,North Dakota,68,174,179,11,,2.9,
,Ohio,"2,808","3,989","3,992",4,,0.1,
,South Dakota,200,380,411,7.4,,8.2,
,Wisconsin,"1,367","1,306","1,264",-0.5,,-3.2,
South,,"39,652","48,922","49,719",2.4,%,1.6,%
,Alabama,"1,826","2,455","2,503",3.3,,2,
,Arkansas,772,"1,061","1,164",3.6,,9.7,
,Delaware/b,597,493,464,-2.1,,-5.9,
,District of Columbia,356,~,~,~,,~,
,Florida,"4,105","7,283","7,350",6.6,,0.9,
,Georgia,"2,758","3,818","4,345",3.7,,13.8,
,Kentucky,"1,061","2,295","2,138",9,,-6.8,
,Louisiana,"2,219","2,616","2,408",1.8,,-8,
,Maryland,"1,219","1,049",959,-1.7,,-8.6,
,Mississippi,"1,669","1,735","1,525",0.4,,-12.1,
,North Carolina,"1,903","2,808","2,819",4.4,,0.4,
,Oklahoma,"2,394","2,625","2,549",1,,-2.9,
,South Carolina,"1,420","1,517","1,473",0.7,,-2.9,
,Tennessee,"1,369","2,009","2,106",4.4,,4.8,
,Texas,"13,622","13,570","14,351",0,,5.8,
,Virginia,"2,059","2,904","2,840",3.9,,-2.2,
,West Virginia,303,684,725,9.5,,6,
West,,"19,657","24,148","23,199",2,%,-3.9,%
,Alaska/b,284,589,644,8.4,,9.3,
,Arizona/c,"1,964","3,777","3,686",7.5,,-2.4,
,California,"11,161","10,989","9,958",-0.2,,-9.4,
,Colorado,"1,333","2,101","2,052",5.2,,-2.3,
,Hawaii/b,561,701,728,2.5,,3.9,
,Idaho,493,744,810,4.7,,8.9,
,Montana,306,391,425,2.8,,8.7,
,Nevada,846,949,964,1.3,,1.6,
,New Mexico,511,589,600,1.6,,1.9,
,Oregon,596,"1,125","1,066",7.3,,-5.2,
,Utah,381,582,608,4.8,,4.5,
,Washington,"1,065","1,397","1,427",3.1,,2.1,
,Wyoming,156,214,231,3.6,,7.9,
"~ Not applicable.  As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,
a/Includes juveniles held in contract facilities.,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
c/Prison population based on custody counts.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
