Bureau of Justice Statistics,,,,,,,,,,
Filename: p10at06.csv,,,,,,,,,,
"Appendix Table 6. Sentenced male prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 12/13/2011,,,,,,,,,,
,,,,,,,,,,
"Appendix Table 6. Sentenced male prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,,,
,,Number of sentenced male prisoners,,,,,,,,
Region and jurisdiction,,2000,2009,2010,"Average annual change, 2000–2009",,"Percent change, 2009–2010",,,
U.S. total,,"1,246,234","1,448,447","1,445,131",1.7, % ,-0.2, % ,,
,Federal,"116,647","176,106","178,792",4.7,,1.5,,, 
,State,"1,129,587","1,272,341","1,266,339",1.3,,-0.5,,, 
Northeast,,"158,815","159,239","156,596",0, % ,-1.7, % ,,
,Connecticut/a,"12,365","12,754","12,638",0.3,,-0.9,,, 
,Maine,"1,573","1,845","1,801",1.8,,-2.4,,, 
,Massachusetts/b,"9,250","9,645","9,526",0.5,,-1.2,,, 
,New Hampshire,"2,137","2,564","2,560",2,,-0.2,,, 
,New Jersey/c,"28,134","24,176","23,871",-1.7,,-1.3,,, 
,New York,"66,919","55,991","54,269",-2,,-3.1,,, 
,Pennsylvania,"35,266","48,509","48,401",3.6,,-0.2,,, 
,Rhode Island/a,"1,902","2,129","1,979",1.3,,-7,,, 
,Vermont/a,"1,269","1,626","1,551",2.8,,-4.6,,, 
Midwest,,"221,902","243,268","243,423",1, % ,0.1, % ,,
,Illinois/c,"42,432","42,571","45,496",0,,6.9,,, 
,Indiana,"18,364","26,282","25,507",4.1,,-2.9,,, 
,Iowa/d,"7,363","8,090","8,627",1.1,,6.6,,, 
,Kansas/d,"7,840","8,076","8,428",0.3,,4.4,,, 
,Michigan,"45,587","43,723","42,244",-0.5,,-3.4,,, 
,Minnesot/a,"5,870","9,312","9,158",5.3,,-1.7,,, 
,Missouri,"25,531","28,129","28,156",1.1,,0.1,,, 
,Nebraska,"3,560","4,032","4,101",1.4,,1.7,,, 
,North Dakota,940,"1,312","1,308",3.8,,-0.3,,, 
,Ohio/d,"43,025","47,617","47,720",1.1,,0.2,,, 
,South Dakota,"2,413","3,050","3,020",2.6,,-1,,, 
,Wisconsin/b,"18,977","21,074","19,658",1.2,,-6.7,,, 
South,,"503,025","583,660","584,963",1.7, % ,0.2, % ,,
,Alabama,"24,244","28,404","28,358",1.8,,-0.2,,, 
,Arkansas,"11,084","14,086","14,988",2.7,,6.4,,, 
,Delaware/a,"3,692","3,781","3,769",0.3,,-0.3,,, 
,District of Columbia,"4,924",~,~, ~ ,, ~ ,,, 
,Florida,"67,213","96,632","96,956",4.1,,0.3,,, 
,Georgia/e,"41,390","51,892","50,576",2.5,,-2.5,,, 
,Kentucky,"13,858","18,546","17,901",3.3,,-3.5,,, 
,Louisiana,"32,988","37,164","37,036",1.3,,-0.3,,, 
,Maryland,"21,429","20,867","21,365",-0.3,,2.4,,, 
,Mississippi,"17,709","19,154","18,935",0.9,,-1.1,,, 
,North Carolina,"25,654","32,871","33,302",2.8,,1.3,,, 
,Oklahoma,"20,787","21,870","22,061",0.6,,0.9,,, 
,South Carolina,"19,716","22,076","21,467",1.3,,-2.8,,, 
,Tennessee,"20,797","24,956","25,345",2,,1.6,,, 
,Texas/b,"146,374","150,566","152,403",0.3,,1.2,,, 
,Virginia,"27,658","35,156","34,570",2.7,,-1.7,,, 
,West Virginia,"3,508","5,639","5,931",5.4,,5.2,,, 
West,,"245,845","286,174","281,357",1.7, % ,-1.7, % ,,
,Alaska/a,"2,031","2,316","2,263",1.5,,-2.3,,, 
,Arizona/e,"23,623","35,088","35,050",4.5,,-0.1,,, 
,California,"149,815","159,396","154,450",0.7,,-3.1,,, 
,Colorado/d,"15,500","20,694","20,763",3.3,,0.3,,, 
,Hawaii/a,"3,175","3,678","3,528",1.6,,-4.1,,, 
,Idaho,"5,042","6,656","6,621",3.1,,-0.5,,, 
,Montana,"2,799","3,214","3,291",1.5,,2.4,,, 
,Nevada,"9,217","11,533","11,592",2.5,,0.5,,, 
,New Mexico,"4,322","5,739","6,021",3.2,,4.9,,, 
,Oregon/d,"9,959","13,244","12,908",3.2,,-2.5,,, 
,Utah,"5,180","5,943","6,189",1.5,,4.1,,, 
,Washington,"13,658","16,812","16,800",2.3,,-0.1,,, 
,Wyoming,"1,524","1,861","1,881",2.2,,1.1,,, 
Note: Counts based on prisoners with a sentence of more than 1 year.,,,,,,,,,,
"~Not applicable.  As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,
a/Prisons and jails form one integrated system.  Data include total jail and prison populations. ,,,,,,,,,,
b/See NPS jurisdiction notes.,,,,,,,,,,
c/Includes some prisoners sentenced to 1 year. ,,,,,,,,,,
d/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,,,
e/Prison population based on custody counts.,,,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,,,
