Bureau of Justice Statistics,,,,,,,,,
Filename: p10at13.csv,,,,,,,,,
"Appendix Table 13. Estimated number of sentenced prisoners under state and federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2010",,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 01/10/2012,,,,,,,,,
,,,,,,,,,
"Appendix Table 13. Estimated number of sentenced prisoners under state and federal jurisdiction, by sex, race, Hispanic origin, and age, December 31, 2010",,,,,,,,,
,,Male,,,,Female,,,
Age,,Total/a,White/b,Black/b,Hispanic,Total/a,White/b,Black/b,Hispanic
,Total/c,"1,446,000","451,600","561,400","327,200","104,600","48,000","26,600","18,700"
18–19,,"20,900","3,900","10,400","5,300",800,300,300,200
20–24,,"173,300","42,800","75,200","44,800","10,800","4,600","2,900","2,300"
25–29,,"235,300","64,700","94,900","62,300","17,700","7,900","4,400","3,800"
30–34,,"235,400","64,300","95,700","62,400","17,700","8,200","4,300","3,500"
35–39,,"199,700","58,800","78,300","49,900","15,500","7,300","3,800","2,700"
40–44,,"182,200","61,200","68,200","37,700","15,300","7,100","4,000","2,500"
45–49,,"163,700","59,400","60,000","28,600","13,000","6,100","3,500","1,700"
50–54,,"114,000","43,200","41,100","18,000","7,700","3,600","2,100","1,100"
55–59,,"61,700","24,700","21,400","9,300","3,500","1,600",900,500
60–64,,"32,000","14,700","9,300","4,600","1,500",800,300,200
65 or older,,"25,300","13,500","5,600","3,600",900,500,200,100
Note: Data source used to estimate race and Hispanic origin changed in 2010. Use caution when comparing to prior years. Counts based on prisoners with a sentence of more than 1 year. See Methodology for estimation method.,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State and Local Correctional Facilities, and National Inmate Survey.",,,,,,,,,
