Bureau of Justice Statistics,,,,,,,,,
Filename: p10at15.csv,,,,,,,,,
"Appendix Table 15. Estimated number of sentenced prisoners under state and federal jurisdiction per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2010",,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 01/10/2012,,,,,,,,,
,,,,,,,,,
"Appendix Table 15. Estimated number of sentenced prisoners under state and federal jurisdiction per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2010",,,,,,,,,
,,Male,,,,Female,,,
Age,,Total/a,White/b,Black/b,Hispanic,Totala,White/b,Black/b,Hispanic
,Total/c,943,459,"3,074","1,258",67,47,133,77
18–19,,462,149,"1,555",563,20,11,40,31
20–24,,"1,511",638,"4,618","1,908",102,72,182,122
25–29,,"2,098",980,"6,349","2,707",168,125,299,202
30–34,,"2,261","1,061","7,299","2,808",175,136,309,189
35–39,,"2,014",995,"6,600","2,486",158,124,289,153
40–44,,"1,752",916,"5,637","2,146",147,106,290,156
45–49,,"1,489",788,"4,751","1,901",115,81,238,117
50–54,,"1,051",552,"3,441","1,495",68,45,150,88
55–59,,650,347,"2,239","1,031",34,22,76,55
60–64,,391,233,"1,262",679,17,12,33,29
65 or older,,143,95,418,294,4,3,7,8
"Note: Data source used to estimate race and Hispanic origin changed in 2010. Use caution when comparing to prior years. Counts based on prisoners with a sentence of more than 1 year. Rates are per 100,000 U.S. residents in each referenced population group on January 1, 2009. See Methodology for estimation method.",,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,,
"Sources: BJS, National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State and Local Correctional Facilities, National Inmate Survey, and unpublished U.S. Census Bureau January 1 population estimates.",,,,,,,,,
