Bureau of Justice Statistics,,,,,,,,
Filename: p10at19.csv,,,,,,,,
"Appendix Table 19. State and federal prisoners in private facilities, December 31, 2000–2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 01/10/2012,,,,,,,,
,,,,,,,,
"Appendix Table 19. State and federal prisoners in private facilities, December 31, 2000–2010",,,,,,,,
,Number of prisoners in private facilities,,,,,,,
Year,Total,,Federal,,State,,Percent of all prisoners,
2000,"87,369",,"15,524",,"71,845",,6.3,%
2001,"91,828",,"19,251",,"72,577",,6.5,
2002,"93,912",,"20,274",,"73,638",,6.5,
2003,"95,707",,"21,865",,"73,842",,6.5,
2004,"98,628",,"24,768",,"73,860",,6.6,
2005,"107,940",,"27,046",,"80,894",,7.1,
2006,"113,697",,"27,726",,"85,971",,7.2,
2007,"123,942",,"31,310",,"92,632",,7.8,
2008,"129,482",,"33,162",,"96,320",,8,
2009,"129,333",,"34,087",,"95,246",,8,
2010,"128,195",,"33,830",,"94,365",,8,
"Average annual change, 2000–2009",4.5,%,9.1,%,3.2,%,:,
"Percent change, 2009–2010",-0.9,,-0.8,,-0.9,,:,
:Not calculated. ,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
