Bureau of Justice Statistics,,,,,,
Filename: p10at20.csv,,,,,,
"Appendix Table 20. State and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 01/10/2012,,,,,,
,,,,,,
"Appendix Table 20. State and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,
,,Number of prisoners in private facilities,,,,
Region and jurisdiction,,2000,2009,2010,Percent of all prisoners,
U.S. total,,"87,369","129,333","128,195",8,%
,Federal/a,"15,524","34,087","33,830",16.1,
,State,"71,845","95,246","94,365",6.7,
Northeast,,"2,509","5,423","5,301",3,%
,Connecticut,0,885,883,4.6,
,Maine,11,0,0,0,
,Massachusetts,0,0,0,0,
,New Hampshire,0,0,0,0,
,New Jersey/b,"2,498","2,950","2,841",11.4,
,New York,0,0,0,0,
,Pennsylvania,0,920,"1,015",2,
,Rhode Island,0,0,0,0,
,Vermont,0,668,562,27,
Midwest,,"7,836","4,895","5,885",2.2,%
,Illinois,0,0,0,0,
,Indiana,991,"2,479","2,817",10.1,
,Iowa,0,0,0,0,
,Kansas,0,0,0,0,
,Michigan,449,0,0,0,
,Minnesota,0,191,0,0,
,Missouri,0,0,0,0,
,Nebraska,0,0,0,0,
,North Dakota,96,0,0,0,
,Ohioc,"1,918","2,195","3,038",5.9,
,South Dakota,45,13,5,0.1,
,Wisconsin,"4,337",17,25,0.1,
South,,"45,560","58,737","60,491",9.2,%
,Alabama,0,883,"1,024",3.2,
,Arkansas,"1,540",0,0,0,
,Delaware,0,0,0,0,
,District of Columbia,"2,342",~,~,0,
,Florida,"3,912","9,812","11,796",11.3,
,Georgia,"3,746","5,129","5,233",9.3,
,Kentucky,"1,268","2,491","2,127",10.4,
,Louisiana,"3,068","2,922","2,921",7.4,
,Maryland,127,104,70,0.3,
,Mississippi,"3,230","5,286","5,241",24.9,
,North Carolina,330,217,208,0.5,
,Oklahoma,"6,931","5,989","6,019",22.9,
,South Carolina,0,14,17,0.1,
,Tennessee,"3,510","5,108","5,120",18.7,
,Texas,"13,985","19,207","19,155",11,
,Virginia,"1,571","1,575","1,560",4.2,
,West Virginia,0,0,0,0,
West,,"15,940","26,191","22,688",7.3,%
,Alaska,"1,383","1,626","1,873",33.5,
,Arizona,"1,430","8,971","5,356",13.3,
,California,"4,547","2,316","2,170",1.3,
,Colorado,/,"4,957","4,498",19.7,
,Hawaii,"1,187","1,648","1,931",32.7,
,Idaho,"1,162","2,066","2,236",30.1,
,Montana,986,"1,434","1,502",40.4,
,Nevada,508,0,0,0,
,New Mexico,"2,155","2,822","2,905",43.6,
,Oregon,0,0,0,0,
,Utah,208,0,0,0,
,Washington/b,0,124,0,0,
,Wyoming,275,227,217,10.3,
/Not reported.,,,,,,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,
"a/Includes federal prisoners held in non-secure, privately operated facilities (8,629 at midyear 2009) as well as prisoners on home confinement (2,548). Counts for prior years can be found in earlier publications.",,,,,,
b/Includes prisoners held in out-of-state private facilities.,,,,,,
"c/Not comparable to prior years. December 31, 2010 counts include inmates housed in privately operated halfway houses.",,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,
