Bureau of Justice Statistics,,,,,,,,
Filename: p10at22.csv,,,,,,,,
"Appendix Table 22. State and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 01/10/2012,,,,,,,,
,,,,,,,,
"Appendix Table 22. State and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,
,,Number of prisoners in local facilities,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2009,12/31/2010,Percent of all prisoners,,,
U.S. total,,"63,140","85,877","83,436",5.2,%,,
,Federal,"2,438","2,896","2,661",1.3, ,,
,State,"60,702","82,981","80,775",5.8, ,,
Northeast,,"3,823","2,139","1,508",0.9,%,,
,Connecticuta,0,0,0,0, ,,
,Maine,24,123,147,6.8, ,,
,Massachusetts,457,132,162,1.4, ,,
,New Hampshire,14,47,36,1.3, ,,
,New Jersey,"3,225","1,274",529,2.1, ,,
,New York,45,38,27,0, ,,
,Pennsylvania,58,525,607,1.2, ,,
,Rhode Islanda,0,0,0,0, ,,
,Vermonta,0,0,0,0, ,,
Midwest,,"2,103","3,588","2,815",1.1,%,,
,Illinois,0,0,0,0, ,,
,Indiana,"1,187","2,060","1,552",5.5, ,,
,Iowa,0,0,0,0, ,,
,Kansas,0,0,0,0, ,,
,Michigan,286,52,52,0.1, ,,
,Minnesotab,149,662,536,5.5, ,,
,Missouri,0,0,0,0, ,,
,Nebraska,0,0,0,0, ,,
,North Dakota,38,47,68,4.6, ,,
,Ohio,0,0,0,0, ,,
,South Dakota,16,64,71,2.1, ,,
,Wisconsin,427,703,536,2.4, ,,
South,,"49,455","71,925","71,354",10.9,%,,
,Alabama,"3,401","2,260","1,366",4.3, ,,
,Arkansas,728,"1,778","1,984",12.2, ,,
,Delawarea,0,0,0,0, ,,
,District of Columbiac,"1,329",~,~,0, ,,
,Floridad,0,"1,298","1,293",1.2, ,,
,Georgia,"3,888","3,390","3,634",6.4, ,,
,Kentucky,"3,850","7,639","6,716",32.7, ,,
,Louisiana,"15,599","19,891","20,436",51.8, ,,
,Maryland,118,111,180,0.8, ,,
,Mississippie,"3,700","4,270","4,613",21.9, ,,
,North Carolina,0,676,266,0.7, ,,
,Oklahoma,970,"2,238","1,905",7.3, ,,
,South Carolina,433,379,384,1.6, ,,
,Tennessee,"5,204","7,047","7,432",27.1, ,,
,Texas,"6,477","12,270","12,990",7.5, ,,
,Virginia,"2,962","7,373","6,546",17.5, ,,
,West Virginia,796,"1,305","1,609",24.1, ,,
West,,"5,321","5,329","5,098",1.6, ,,
,Alaskaa,0,0,0,0,%,, 
,Arizona,237,0,0,0, ,,
,California,"2,758","2,611","2,200",1.3, ,,
,Colorado,"2,178",70,63,0.3, ,,
,Hawaiia,0,0,0,0, ,,
,Idaho,450,312,263,3.5, ,,
,Montana,548,493,550,14.8, ,,
,Nevada,175,93,88,0.7, ,,
,New Mexico,0,0,0,0, ,,
,Oregon,7,14,9,0.1, ,,
,Utah,"1,050","1,223","1,304",19.2, ,,
,Washington,0,463,614,3.4, ,,
,Wyoming,17,50,7,0.3, ,,
~Not applicable.,,,,,,,,
aPrisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,
"bIncludes inmates temporarily housed in local jails, on work release, or community work crew programs.",,,,,,,,
"cAs of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,
"dAs of 2009, the count includes all prisoners out to court. Not comparable to previous years. ",,,,,,,,
eIncludes local county jails and county regional facilities.,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,
