Bureau of Justice Statistics,,
Filename: p10f01.csv,,
"Figure 1. Prisoners under state and federal jurisdiction at yearend, 2000–2010",,
Report title: Prisoners in 2010 NCJ 236096,,
Data source(s): National Prisoner Statistics Program,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 01/10/2012,,
,,
"Figure 1. Prisoners under state and federal jurisdiction at yearend, 2000–2010",,
On December 31,Number,Annual percent change
2000,"1,391,260",2
2001,"1,404,030",0.9
2002,"1,440,140",2.6
2003,"1,468,600",2
2004,"1,497,100",1.9
2005,"1,527,930",2.1
2006,"1,569,950",2.7
2007,"1,598,250",1.8
2008,"1,609,760",0.7
2009,"1,617,970",0.5
2010,"1,612,395",-0.3
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held.,,
"Source: BJS, National Prisoner Statistics Program.",,
