Bureau of Justice Statistics,,
Filename: p10f03.csv,,
"Figure 3. Change in prisoners under the jurisdiction of state and federal correctional authorities, 2000–2009 and 2009–2010",,
Report title: Prisoners in 2010 NCJ 236096,,
Data source(s): National Prisoner Statistics Program,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 01/10/2012,,
,,
"Figure 3. Change in prisoners under the jurisdiction of state and federal correctional authorities, 2000–2009 and 2009–2010",,
,"Average annual percent change, 2000-2009","Percent change, 2009-2010"
U.S. Total,1.7,-0.3
Federal,4.1,0.8
Iowa,1.1,7.3
Illinois,0,7.2
Arkansas,2.7,6.5
Alaska,2.7,5.9
West Virginia,5.7,4.9
Kansas,0.4,4.7
Utah,1.7,4.1
New Mexico,2.1,3.3
Montana,1.7,3.1
Nebraska,1.6,2.5
Tennessee,2.2,1.8
Wyoming,2.4,1.8
Maryland,-0.6,1.8
Texas,0.3,1.4
Nevada,2.4,1.4
New Hampshire,2.1,1.1
Idaho,3.3,0.4
Florida,4.3,0.4
Hawaii,1.7,0.4
Ohio,1.3,0.2
Missouri,1.2,0.2
Colorado,3.4,0.1
North Dakota,3.7,0.1
Washington,2.3,0
South Dakota,3.1,0
Massachusetts,0.6,0
Pennsylvania,3.8,-0.3
Alabama,2.1,-0.3
Oklahoma,1.5,-0.5
Louisiana,1.4,-0.8
Georgia,2.9,-1
North Carolina,2.9,-1
Arizona,4.9,-1.2
New Jersey,-1.8,-1.5
Virginia,2.6,-1.8
Minnesota,5.4,-1.9
Wisconsin,1.2,-1.9
Mississippi,0.7,-1.9
Connecticut,0.8,-2
Maine,3.1,-2.4
Oregon,3.5,-2.7
Indiana,4.1,-2.7
Delaware,-0.2,-2.9
South Carolina,1.2,-2.9
Michigan,-0.5,-3
New York,-2,-3.5
California,0.6,-3.6
Kentucky,4.2,-5.1
Vermont,3,-6.4
Rhode Island,1.2,-8.6
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held.,,
*Prisons and jails form one integrated system. Data include jail and prison populations.,,
"Source: BJS, National Prisoner Statistics Program.",,
