Bureau of Justice Statistics,,
Filename: p10f06.csv,,
"Figure 6. Number of sentenced prisoners admitted to and released from state or federal prison, 2000–2010",,
Report title: Prisoners in 2010 NCJ 236096,,
Data source(s): National Prisoner Statistics Program,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 12/13/2011,,
,,
"Figure 6. Number of sentenced prisoners admitted to and released from state or federal prison, 2000–2010",,
Year,Admissions,Releases
2000,"625,219","604,858"
2001,"638,978","628,626"
2002,"661,712","630,176"
2003,"686,437","656,384"
2004,"699,812","672,202"
2005,"733,009","701,632"
2006,"749,798","713,473"
2007,"742,875","721,161"
2008,"744,822","735,454"
2009,"731,576","729,749"
2010,"703,798","708,677"
Note: Scale of vertical axis was narrowed to reveal divergence between admission and release values.,,
"Source: BJS, National Prisoner Statistics Program.",,
