Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p10t01.csv,,,,,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000–2010",,,,,,,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 01/10/2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000–2010",,,,,,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,,Sentenced prisoners/b,,Imprisonment rate/c,
2000,,"1,391,261",,"145,416",,"1,245,845",,"1,298,027",,"93,234",,"1,331,278",,478,
2001,,"1,404,032",,"156,993",,"1,247,039",,"1,311,053",,"92,979",,"1,345,217",,470,
2002,,"1,440,144",,"163,528",,"1,276,616",,"1,342,513",,"97,631",,"1,380,516",,476,
2003,,"1,468,601",,"173,059",,"1,295,542",,"1,367,755",,"100,846",,"1,408,361",,482,
2004,,"1,497,100",,"180,328",,"1,316,772",,"1,392,278",,"104,822",,"1,433,728",,486,
2005,,"1,527,929",,"187,618",,"1,340,311",,"1,420,303",,"107,626",,"1,462,866",,491,
2006,,"1,569,945",,"193,046",,"1,376,899",,"1,457,486",,"112,459",,"1,504,660",,501,
2007,,"1,598,245",,"199,618",,"1,398,627",,"1,483,740",,"114,505",,"1,532,850",,506,
2008,,"1,609,759",,"201,280",,"1,408,479",,"1,495,110",,"114,649",,"1,547,742",,504,
2009,,"1,617,970",,"208,118",,"1,409,852",,"1,504,533",,"113,437",,"1,553,703",,504,
2010,,"1,612,395",,"209,771",,"1,402,624",,"1,499,062",,"113,333",,"1,550,241",,500,
Percent change,,,,,,,,2,,,,,,,
,"Average annual, 2000–2009",1.7,%,4.1,%,1.4,%,-0.4,%,2.2,%,1.7,%,0.6,%
,2009–2010,-0.3,,0.8,,-0.5,,-0.6,,-0.1,,-0.2,,-0.8,
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. ,,,,,,,,,,,,,,,
a/Includes inmates held in non-secure privately operated community corrections centers and juveniles held in contract facilities ,,,,,,,,,,,,,,,
b/Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials.,,,,,,,,,,,,,,,
"c/Imprisonment rate is the number of prisoners under state or federal jurisdiction with a sentence of more than 1 year per 100,000 U.S. residents.  Resident population estimates are from the U.S. Census Bureau for January 1 of the following year. ",,,,,,,,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,,,,,,,,
