Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p10t02.csv,,,,,,,,,,,,,,
"Table 2. Number of sentenced prisoners admitted to and released from state and federal jurisdiction, 2000–2010",,,,,,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,
Date of version: 12/13/2011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 2. Number of sentenced prisoners admitted to and released from state and federal jurisdiction, 2000–2010",,,,,,,,,,,,,,
,,Admissions,,,,,,,Releases,,,,,
Year,,Total,,Federal,,State,,,Total,,Federal,,State,
2000,,"625,219",,"43,732",,"581,487",,,"604,858",,"35,259",,"569,599",
2001,,"638,978",,"45,140",,"593,838",,,"628,626",,"38,370",,"590,256",
2002,,"661,712",,"48,144",,"613,568",,,"630,176",,"42,339",,"587,837",
2003,,"686,437",,"52,288",,"634,149",,,"656,384",,"44,199",,"612,185",
2004,,"699,812",,"52,982",,"646,830",,,"672,202",,"46,624",,"625,578",
2005,,"733,009",,"56,057",,"676,952",,,"701,632",,"48,323",,"653,309",
2006,,"749,798",,"57,495",,"692,303",,,"713,473",,"47,920",,"665,553",
2007,,"742,875",,"53,618",,"689,257",,,"721,161",,"48,764",,"672,397",
2008,,"744,822",,"53,662",,"691,160",,,"735,454",,"52,348",,"683,106",
2009,,"731,576",,"56,153",,"675,423",,,"729,749",,"50,720",,"679,029",
2010,,"703,798",,"54,121",,"649,677",,,"708,677",,"52,487",,"656,190",
Percent change,,,,,,,,,,,,,,
,"Average annual, 2000–2009",1.8,%,2.8,%,1.7,%,,2.1,%,4.1,%,2.0,%
,2009–2010,-3.8,,-3.6,,-3.8,,,-2.9,,3.5,,-3.4,
"Note: Counts based on prisoners with a sentence of more than 1 year. Counts exclude transfers, escapes, and prisoners absent without leave (AWOL).",,,,,,,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,,,,,,,
