Bureau of Justice Statistics,,,,,,
Filename: p10t03.csv,,,,,,
"Table 3. Sentenced prisoner admitted to state prisons, by type of admission, 2000–2010",,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 01/10/2012,,,,,,
,,,,,,
"Table 3. Sentenced prisoner admitted to state prisons, by type of admission, 2000–2010",,,,,,
Year,Total/a,,New court commitmentsb,,"Parole violators/b,c",
2000,"581,487",,"350,431",,"203,569",
2001,"593,838",,"365,714",,"215,450",
2002,"613,568",,"392,661",,"207,855",
2003,"634,149",,"399,843",,"198,705",
2004,"646,830",,"411,300",,"219,033",
2005,"676,952",,"421,426",,"232,229",
2006,"692,303",,"441,606",,"239,495",
2007,"689,257",,"431,019",,"247,851",
2008,"691,160",,"428,591",,"248,515",
2009,"675,423",,"423,473",,"237,719",
2010,"649,677",,"408,845",,"227,311",
"Percent change, 2009–2010",-3.8,%,-3.5,%,-4.4,%
"a/Counts based on prisoners with a sentence of more than 1 year. Counts exclude transfers, escapes, and those absent without leave (AWOL). Includes other conditional release violators, returns from appeal or bond, and other admissions.",,,,,,
b/Excludes Alaska because admissions are not available by type.,,,,,,
c/Includes all conditional release violators returned to prison for either violation of conditions of release or for new crimes.,,,,,,
"Source: BJS, National Prisoner Statistics Program",,,,,,
