Bureau of Justice Statistics,,,,,,,,,,
Filename: p11at04.csv,,,,,,,,,,
"Appendix table 4. Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 4. Sentenced male prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2010, and 2011",,,,,,,,,,
,,,,,,,,,,
,,Number of male inmates,,,,,Percent change,,,
Jurisdiction,,2000,2010,2011,Percent of 2011 sentenced prison population,,"Average annual, 2000–2010/a",,2010–2011,
,U.S. total,"1,249,130","1,447,766","1,433,741",93.3,%,1.3,%,-1,%
Federal/b,,"116,647","178,792","184,901",93.8,%,3.9,%,3.4,%
State,,"1,132,483","1,268,974","1,248,840",93.2,,1,,-1.6,
,Alabama,"24,244","28,358","28,823",92.2,%,1.4,%,1.6,%
,Alaska/c,"2,031","2,509","2,590",89.3,,1.9,,3.2,
,Arizona/d,"23,623","35,050","35,098",91.5,,3.6,,0.1,
,Arkansas,"11,084","14,988","14,938",93.1,,2.7,,-0.3,
,California,"149,815","154,450","140,972",94.6,,0.3,,-8.7,
,Colorado/e,"15,500","20,763","19,957",90.8,,2.7,,-3.9,
,Connecticut/c,"12,365","12,638","11,865",94.5,,0.2,,-6.1,
,"Delaware/c,d","3,692","3,769","3,815",95.3,,0.2,,1.2,
,Florida,"67,213","96,956","95,913",93.1,,3.3,,-1.1,
,Georgia,"41,390","51,073","50,211",93.1,,1.9,,-1.7,
,"Hawaii/c,f","3,175","3,528","3,527",90.2,,1,,0,
,Idaho,"5,042","6,621","6,854",88.6,,2.5,,3.5,
,Illinois/g,"42,432","45,496","45,562",94.1,,0.6,,0.1,
,Indiana,"18,364","25,507","26,391",91.3,,3,,3.5,
,Iowa,"7,363","8,627","8,336",92,,1.4,,-3.4,
,Kansas,"7,840","8,428","8,647",92.7,,0.7,,2.6,
,Kentucky,"13,858","17,901","18,575",88.7,,2.3,,3.8,
,Louisiana,"32,988","37,036","37,325",94,,1.1,,0.8,
,Maine,"1,573","1,801","1,810",92.7,,1.2,,0.5,
,Maryland,"21,429","21,365","21,301",95.7,,0,,-0.3,
,Massachusetts/h,"9,250","9,525","9,822",95.2,,0.3,,3.1,
,Michigan,"45,587","42,244","40,995",95.6,,-0.7,,-3,
,Minnesota,"5,870","9,158","9,156",93.4,,4,,0,
,Mississippi,"17,709","18,935","19,115",92.9,,0.6,,1,
,Missouri,"25,531","28,156","28,254",91.6,,0.9,,0.3,
,Montana,"2,799","3,291","3,274",89,,1.5,,-0.5,
,Nebraska,"3,560","4,101","4,159",92.2,,1.3,,1.4,
,Nevada,"9,217","11,592","11,672",92.3,,2.1,,0.7,
,New Hampshire,"2,137","2,560","2,444",93.5,,1.6,,-4.5,
,New Jerseyg,"28,134","23,871","22,762",95.5,,-1.5,,-4.6,
,New Mexico,"4,322","6,021","6,230",90.9,,3,,3.5,
,New York,"66,919","54,269","52,973",95.9,,-1.9,,-2.4,
,North Carolina,"25,654","33,302","33,030",94.1,,2.4,,-0.8,
,North Dakota,940,"1,308","1,276",89.7,,3,,-2.4,
,Ohio/e,"43,025","47,720","47,061",92.3,,0.9,,-1.4,
,Oklahoma,"20,787","22,061","21,693",90.3,,0.5,,-1.7,
,Oregon,"9,959","13,703","13,343",92.3,,2.9,,-2.6,
,Pennsylvania,"35,266","48,401","48,657",94.7,,2.9,,0.5,
,"Rhode Island/c,f","1,902","1,979","1,984",96.1,,0.4,,0.3,
,South Carolina,"19,716","21,467","20,940",94.2,,0.8,,-2.5,
,South Dakota,"2,413","3,020","3,092",87.6,,2,,2.4,
,Tennessee,"20,797","25,345","26,070",91.5,,1.8,,2.9,
,Texas,"146,374","152,403","151,343",92.5,,0.4,,-0.7,
,Utah,"5,180","6,189","6,264",91.1,,1.6,,1.2,
,Vermont/c,"1,269","1,551","1,496",93.6,,1.8,,-3.5,
,Virginia/g,"27,658","34,570","35,321",92.6,,2,,2.2,
,Washington/e,"13,658","16,800","16,420",92.2,,1.9,,-2.3,
,West Virginia,"3,508","5,931","6,056",89,,4.8,,2.1,
