Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p11at15.csv,,,,,,,,,,,,
"Appendix table 15. State and federal prisoners held in local jails and private prisons, by jurisdiction, December 31, 2000, 2010, and 2011",,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 15. State and federal prisoners held in local jails and private prisons, by jurisdiction, December 31, 2000, 2010, and 2011",,,,,,,,,,,,
,,Inmates held in local jails ,,,,,,Inmates held in private prisons,,,,
Jurisdiction,,2000,2010,2011,"Percent of total jurisdictional population, 2011",,,2000,2010,2011,"Percent of total jurisdictional population, 2011",
,U.S. total,"69,326","83,443","82,058",5.1,%,,"90,815","127,945","130,941",8.2,%
Federal/b,,"2,438","2,661","1,439",0.7,%,,"15,524","33,830","38,546",17.8,%
State,,"66,888","80,782","80,619",5.8,,,"75,291","94,115","92,395",6.7,
,Alabama,"3,401","1,366","2,148",6.7,%,,0,"1,024",545,1.7,%
,Alaska/c,/,0,0,0,,,"1,383","1,598","1,679",31,
,Arizona,237,0,0,0,,,"1,430","5,356","6,457",16.1,
,Arkansas,728,"1,984",883,5.5,,,"1,540",0,0,0,
,California,"2,758","2,200",57,0,,,"4,547","2,170",697,0.5,
,Colorado,79,63,116,0.5,,,"2,099","4,498","4,303",19.6,
,Connecticut/c,/,0,0,0,,,/,883,855,4.7,
,Delaware/c,0,0,0,0,,,0,0,0,0,
,Florida,0,"1,293","1,267",1.2,,,"3,912","11,796","11,827",11.5,
,Georgia,"3,888","3,634","3,100",5.5,,,"3,746","5,233","5,615",10,
,Hawaii/c,/,0,0,0,,,"1,187","1,931","1,767",29.3,
,Idaho,450,263,588,7.6,,,"1,163","2,236","2,332",30.1,
,Illinois,0,0,0,0,,,/,0,0,0,
,Indiana,"1,187","1,552","1,504",5.2,,,991,"2,817","2,952",10.2,
,Iowa,0,0,0,0,,,0,0,0,0,
,Kansas,0,0,1,0,,,/,0,74,0.8,
,Kentucky,"3,850","6,716","7,190",33.4,,,"1,268","2,127","2,050",9.5,
,Louisiana,"15,599","20,436","20,866",52.5,,,"3,065","2,921","2,951",7.4,
,Maine,24,147,110,5.1,,,11,0,0,0,
,Maryland,118,180,151,0.7,,,127,70,78,0.3,
,Massachusetts,457,162,163,1.4,,,/,0,0,0,
,Michigan,286,52,36,0.1,,,449,0,0,0,
,Minnesota,149,536,562,5.7,,,0,0,0,0,
,Mississippi,"3,700","4,613","5,996",28,,,"3,230","5,241","4,669",21.8,
,Missouri,0,0,0,0,,,0,0,0,0,
,Montana,548,550,523,14.2,,,986,"1,502","1,418",38.6,
,Nebraska,0,0,56,1.2,,,0,0,0,0,
,Nevada,147,88,100,0.8,,,508,0,0,0,
,New Hampshire,14,36,20,0.8,,,0,0,0,0,
,New Jersey,"3,225",529,200,0.8,,,"2,498","2,841","2,887",12.1,
,New Mexico,0,0,0,0,,,"2,132","2,905","2,853",40.8,
,New York,45,27,14,0,,,0,0,0,0,
,North Carolina,0,266,0,0,,,330,208,30,0.1,
,North Dakota,38,68,55,3.9,,,96,0,0,0,
,Ohio,0,0,0,0,,,"1,918","3,038","3,004",5.9,
,Oklahoma,970,"1,905","2,088",8,,,"6,931","6,019","6,026",23.2,
,Oregon,7,9,0,0,,,0,0,0,0,
,Pennsylvania,58,607,609,1.2,,,0,"1,015","1,195",2.3,
,Rhode Island/c,/,0,0,0,,,/,0,0,0,
,South Carolina,421,384,366,1.6,,,13,17,20,0.1,
,South Dakota,16,71,73,2.1,,,45,5,11,0.3,
,Tennessee,"5,204","7,432","8,660",30.4,,,"3,510","5,120","5,147",18.1,
,Texas,"14,689","12,990","11,906",6.9,,,"17,432","19,155","18,603",10.8,
,Utah,"1,050","1,304","1,529",22.2,,,208,0,0,0,
,Vermont/c,0,0,0,0,,,0,562,522,25.4,
,Virginia,"2,962","6,546","7,474",19.6,,,"1,571","1,560","1,569",4.1,
,Washington,0,614,386,2.2,,,0,0,0,0,
,West Virginia,796,"1,609","1,677",24.6,,,0,0,0,0,
,Wisconsin,400,543,136,0.6,,,"4,349",50,14,0.1,
,Wyoming,17,7,9,0.4,,,275,217,245,11.2,
"Note: As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,
"a/Includes prisoners held in the jurisdiction’s own private facilities, as well as private facilities in another state.",,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure, privately operated facilities (8,770), as well as prisoners on home confinement (2,427).",,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,,,
