Bureau of Justice Statistics,,,,,,,,,,,
Filename: p11t01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000–2011",,,,,,,,,,,
Report title: Prisoners in 2011,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,
 ,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000–2011",,,,,,,,,,,
Year,,Total,,Federal*,,State,,Male,,Female,
2000,,"1,394,231",,"145,416",,"1,248,815",,"1,303,421",,"93,504",
2001,,"1,404,032",,"156,993",,"1,247,039",,"1,311,053",,"92,979",
2002,,"1,440,144",,"163,528",,"1,276,616",,"1,342,513",,"97,631",
2003,,"1,468,601",,"173,059",,"1,295,542",,"1,367,755",,"100,846",
2004,,"1,497,100",,"180,328",,"1,316,772",,"1,392,278",,"104,822",
2005,,"1,525,910",,"187,618",,"1,338,292",,"1,418,392",,"107,518",
2006,,"1,568,674",,"193,046",,"1,375,628",,"1,456,366",,"112,308",
2007,,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,780",,"216,362",,"1,382,418",,"1,487,393",,"111,387",
Percent change,,,,,,,,,,,
,"Average annual, 2000–2010",1.3,%,3.3,%,1.1,%,1.3,%,1.7,%
,2010–2011,-0.9,,3.1,,-1.5,,-0.9,,-1.3,
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held.,,,,,,,,,,,
*Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,,
