Bureau of Justice Statistics,,,,,,,,,,,
Filename: p11t05.csv,,,,,,,,,,,
"Table 5. Sentenced prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000–2011",,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,
,,,,,,,,,,,
"Table 5. Sentenced prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000–2011",,,,,,,,,,,
Year,,Total,,Federal*,,State,,Male,,Female,
2000,,"1,334,174",,"125,044",,"1,209,130",,"1,249,130",,"85,044",
2001,,"1,345,217",,"136,509",,"1,208,708",,"1,260,033",,"85,184",
2002,,"1,380,516",,"143,040",,"1,237,476",,"1,291,450",,"89,066",
2003,,"1,408,361",,"151,919",,"1,256,442",,"1,315,790",,"92,571",
2004,,"1,433,728",,"159,137",,"1,274,591",,"1,337,730",,"95,998",
2005,,"1,462,866",,"166,173",,"1,296,693",,"1,364,178",,"98,688",
2006,,"1,504,598",,"173,533",,"1,331,065",,"1,401,261",,"103,337",
2007,,"1,532,851",,"179,204",,"1,353,647",,"1,427,088",,"105,763",
2008,,"1,547,742",,"182,333",,"1,365,409",,"1,441,384",,"106,358",
2009,,"1,553,574",,"187,886",,"1,365,688",,"1,448,239",,"105,335",
2010,,"1,552,669",,"190,641",,"1,362,028",,"1,447,766",,"104,903",
2011,,"1,537,415",,"197,050",,"1,340,365",,"1,433,741",,"103,674",
Percent change,,,,,,,,,,,
,"Average annual, 2000–2010",1.4,%,3.8,%,1.1,%,1.3,%,1.9,%
,2010–2011,-1,,3.4,,-1.6,,-1,,-1.2,
Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials.,,,,,,,,,,,
*Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,,
