Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: p11t07.csv,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated percent of sentenced prisoners under state and federal jurisdiction by sex, race, Hispanic origin, and age, December 31, 2011",,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated percent of sentenced prisoners under state and federal jurisdiction by sex, race, Hispanic origin, and age, December 31, 2011",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,Females,,,,,,,
Age group,,"Total/a,b",,"All male/a,b",,White/c,,Black/c,,Hispanic,,,"All female/a,b",,White/c,,Black/c,,Hispanic,
,Total/d,"1,537,415",,"1,433,741",,"465,100",,"555,300",,"331,500",,,"103,674",,"51,100",,"26,000",,"18,400",
18–19,,1.5,%,1.5,%,0.9,%,1.9,%,1.7,%,,0.9,%,0.6,%,1.2,%,1.1,%
20–24,,12.4,,12.4,,9.9,,13.8,,13.8,,,11.2,,10.4,,11.5,,13,
25–29,,16.4,,16.3,,14.4,,16.5,,18.8,,,17.4,,17.2,,16.5,,19.6,
30–34,,16.6,,16.5,,14.4,,17.1,,18.7,,,17.5,,17.4,,16.9,,19,
35–39,,13.8,,13.7,,12.8,,13.8,,15.1,,,14.8,,14.9,,14.2,,14.7,
40–44,,12.6,,12.5,,13.4,,12.1,,11.7,,,14.1,,14.1,,14.6,,13,
45–49,,11.1,,11,,12.9,,10.6,,8.9,,,11.8,,12.1,,12.7,,9.2,
50–54,,7.7,,7.7,,9.5,,7.4,,5.6,,,7,,7.2,,7.7,,5.4,
55–59,,4.1,,4.2,,5.4,,3.8,,3,,,3.2,,3.3,,3.1,,2.7,
60–64,,2.1,,2.2,,3.2,,1.7,,1.5,,,1.4,,1.6,,1.2,,1.1,
65 or older,,1.7,,1.8,,3,,1,,1.1,,,0.9,,1,,0.8,,0.5,
a/Detail may not sum to total due to rounding.,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011; Federal Justice Statistics Program, 2011; National Corrections Reporting Program, 2010; and Survey of Inmates in State and Local Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,
