Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at03.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Sentenced state and federal prisoners admitted, by age, sex, race, and Hispanic origin, 2012",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Sentenced state and federal prisoners admitted, by age, sex, race, and Hispanic origin, 2012",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,"All male/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",,,"All female/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,3.5,,3.8,,2.4,,5.1,,3.8,,3.4,,,1.5,,1.2,,2.2,,2.1,,0.5,
20–24,,17.7,,18.1,,15.3,,20,,19,,18.3,,,14.5,,13.8,,15.1,,15,,15.7,
25–29,,19.3,,19.1,,18,,18.3,,21.2,,21.5,,,20.6,,20.9,,17.3,,22.5,,23,
30–34,,16.7,,16.5,,16.3,,15.4,,18.2,,16.5,,,18.8,,18.4,,17.5,,20.3,,21.3,
35–39,,12.4,,12.2,,12.5,,10.8,,13.3,,14,,,14,,14.2,,13.5,,14.6,,13.6,
40–44,,10.9,,10.7,,12.2,,9.9,,9.9,,10.2,,,12.2,,12.9,,12.8,,10.9,,9.8,
45–49,,9,,8.8,,10.4,,9,,7,,7.5,,,9.9,,10,,11.3,,8.7,,8.7,
50–54,,5.8,,5.8,,7,,6.2,,3.9,,4.7,,,5.3,,5.4,,6.5,,3.8,,4.6,
55–59,,2.6,,2.6,,3.3,,2.8,,1.8,,1.7,,,2,,2.1,,2.6,,1.4,,1.5,
60–64,,1.1,,1.1,,1.5,,1.1,,0.8,,0.8,,,0.7,,0.7,,0.7,,0.4,,0.7,
65 or older,,0.6,,0.6,,1,,0.4,,0.4,,0.6,,,0.3,,0.3,,0.3,,0.2,,0.1,
,Number of admitted prisoners,"609,781",,"542,940",,"172,843",,"198,251",,"126,005",,"45,841",,,"66,841",,"32,685",,"15,360",,"10,925",,"7,872",
"Note: Counts based on prisoners admitted to serve a sentence of more than 1 year under the jurisdiction of state or federal correctional officials. Excludes transfers, escapes, and those absent without leave (AWOL). Totals for all admissions include other conditional release violators, returns from appeal or bond, and other admissions. Missing data were imputed for Illinois and Nevada. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Detail may not sum to total due to rounding, inmates age 17 or younger, and missing race/Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2012; Federal Justice Statistics Program, 2011–2012; National Corrections Reporting Program, 2011; and Survey of Inmates in State and Local Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,,,,,
