Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at04.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Sentenced state and federal prisoners, by age, sex, race, and Hispanic origin, December 31, 2012",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Sentenced state and federal prisoners, by age, sex, race, and Hispanic origin, December 31, 2012",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,"All male/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",,,"All female/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,1.3,%,1.4,%,0.8,%,1.7,%,1.5,%,1.3,%,,0.8,%,0.6,%,0.9,%,1.2,%,0,%
20–24,,12.1,,12.2,,9.4,,13.8,,13.4,,12.5,,,11,,9.9,,11.5,,12.9,,12.1,
25–29,,15.8,,15.7,,13.8,,15.9,,17.9,,18.2,,,17.3,,17,,16.2,,20,,20.7,
30–34,,16.7,,16.6,,14.9,,16.9,,18.8,,17.9,,,18.1,,17.8,,17.5,,20,,20.7,
35–39,,13.7,,13.6,,12.5,,13.8,,15.3,,14.9,,,14.4,,14.6,,14.1,,14.7,,13.8,
40–44,,12.5,,12.4,,13.3,,12,,12,,11.6,,,13.5,,14,,13.7,,12.4,,12.1,
45–49,,10.9,,10.9,,12.5,,10.6,,9,,9.2,,,11.5,,11.7,,12.4,,9.4,,9.5,
50–54,,8,,8.1,,10,,7.7,,5.9,,6.8,,,7.4,,7.7,,7.7,,5.3,,6.9,
55–59,,4.5,,4.6,,5.9,,4.2,,3.3,,3.6,,,3.6,,3.6,,3.8,,2.9,,3.4,
60–64,,2.3,,2.4,,3.4,,1.8,,1.6,,1.9,,,1.5,,1.8,,1.3,,1.2,,0.9,
65 or older,,1.9,,2,,3.4,,1.2,,1.2,,1.6,,,1,,1.2,,0.4,,0.6,,0.9,
,Number of sentenced prisoners,"1,511,480",,"1,410,191",,"451,252",,"527,768",,"315,234",,"115,937",,,"101,289",,"49,352",,"23,386",,"16,968",,"11,584",
Note: Counts based on prisoners with a sentence of more than 1 year under the jurisdiction of state or federal correctional officials. Missing data were imputed for Illinois and Nevada. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,
"a/Detail may not sum to total due to rounding, inmates age 17 or younger, and missing race/Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2012; Federal Justice Statistics Program, 2012; National Corrections Reporting Program, 2011; ",,,,,,,,,,,,,,,,,,,,,,,,
"and Survey of Inmates in State and Local Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,,,,,
