Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p12tar9112at06.csv,,,,,,,,,,,,,,,
"Appendix table 6. Total state and federal prisoners, by sex, December 31, 2011 and 2012",,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Appendix table 6. Total state and federal prisoners, by sex, December 31, 2011 and 2012",,,,,,,,,,,,,,,
,,2011,,,,2012,,,,"Percent change, 2011–2012",,,,,
Jurisdiction,,Total,Males,Females,,Total,Males,Females,,Total,,Males,,Females,
,U.S. Total,"1,598,968","1,487,561","111,407",,"1,570,397","1,461,625","108,772",,-1.8,%,-1.7,%,-2.4,%
Federal/a,,"216,362","202,462","13,900",,"217,815","203,766","14,049",,0.7,%,0.6,%,1.1,%
State,,"1,382,606","1,285,099","97,507",,"1,352,582","1,257,859","94,723",,-2.2,%,-2.1,%,-2.9,%
,Alabama,"32,270","29,696","2,574",,"32,431","29,782","2,649",,0.5,,0.3,,2.9,
,Alaska/b,"5,597","4,932",665,,"5,633","4,934",699,,0.6,,0,,5.1,
,Arizona,"40,020","36,470","3,550",,"40,080","36,447","3,633",,0.1,,-0.1,,2.3,
,Arkansas,"16,108","14,995","1,113",,"14,654","13,594","1,060",,-9,,-9.3,,-4.8,
,California,"149,569","141,382","8,187",,"134,534","128,436","6,098",,-10.1,,-9.2,,-25.5,
,Colorado,"21,978","19,957","2,021",,"20,462","18,739","1,723",,-6.9,,-6.1,,-14.7,
,Connecticut/b,"18,324","17,090","1,234",,"17,530","16,312","1,218",,-4.3,,-4.6,,-1.3,
,Delaware/b,"6,739","6,202",537,,"6,914","6,348",566,,2.6,,2.4,,5.4,
,Florida,"103,055","95,913","7,142",,"101,930","94,945","6,985",,-1.1,,-1,,-2.2,
,Georgia,"55,944","52,027","3,917",,"55,457","51,868","3,589",,-0.9,,-0.3,,-8.4,
,Hawaii/b,"6,037","5,304",733,,"5,831","5,143",688,,-3.4,,-3,,-6.1,
,Idaho,"7,739","6,854",885,,"7,985","6,977","1,008",,3.2,,1.8,,13.9,
,Illinois/c,"48,427","45,562","2,865",,"49,348","46,599","2,749",,1.9,,2.3,,-4,
,Indiana,"28,906","26,406","2,500",,"28,831","26,265","2,566",,-0.3,,-0.5,,2.6,
,Iowa/d,"9,116","8,378",738,,"8,733","7,949",784,,-4.2,,-5.1,,6.2,
,Kansas/d,"9,327","8,647",680,,"9,682","8,952",730,,3.8,,3.5,,7.4,
,Kentucky,"21,545","19,091","2,454",,"22,110","19,425","2,685",,2.6,,1.7,,9.4,
,Louisiana,"39,710","37,326","2,384",,"40,172","37,783","2,389",,1.2,,1.2,,0.2,
,Maine,"2,145","1,981",164,,"2,108","1,944",164,,-1.7,,-1.9,,0,
,Maryland,"22,558","21,576",982,,"21,522","20,646",876,,-4.6,,-4.3,,-10.8,
,Massachusetts,"11,623","10,832",791,,"11,308","10,549",759,,-2.7,,-2.6,,-4,
,Michigan,"42,940","41,031","1,909",,"43,636","41,647","1,989",,1.6,,1.5,,4.2,
,Minnesota,"9,800","9,156",644,,"9,938","9,228",710,,1.4,,0.8,,10.2,
,Mississippi,"21,386","19,808","1,578",,"22,319","20,652","1,667",,4.4,,4.3,,5.6,
,Missouri,"30,833","28,258","2,575",,"31,247","28,544","2,703",,1.3,,1,,5,
,Montana,"3,678","3,274",404,,"3,609","3,210",399,,-1.9,,-2,,-1.2,
,Nebraska,"4,616","4,247",369,,"4,705","4,352",353,,1.9,,2.5,,-4.3,
,Nevada/c,"12,778","11,811",967,,"12,883","11,845","1,038",,0.8,,0.3,,7.3,
,New Hampshire,"2,614","2,444",170,,"2,790","2,583",207,,6.7,,5.7,,21.8,
,New Jersey,"23,834","22,762","1,072",,"23,225","22,164","1,061",,-2.6,,-2.6,,-1,
,New Mexico,"6,998","6,366",632,,"6,727","6,096",631,,-3.9,,-4.2,,-0.2,
,New York,"55,436","53,124","2,312",,"54,210","51,963","2,247",,-2.2,,-2.2,,-2.8,
,North Carolina,"39,440","36,800","2,640",,"37,136","34,675","2,461",,-5.8,,-5.8,,-6.8,
,North Dakota,"1,423","1,276",147,,"1,512","1,341",171,,6.3,,5.1,,16.3,
,Ohio,"50,964","47,061","3,903",,"50,876","47,008","3,868",,-0.2,,-0.1,,-0.9,
,Oklahoma,"25,977","23,558","2,419",,"25,225","22,728","2,497",,-2.9,,-3.5,,3.2,
,Oregon,"14,510","13,387","1,123",,"14,840","13,609","1,231",,2.3,,1.7,,9.6,
,Pennsylvania,"51,578","48,795","2,783",,"51,125","48,380","2,745",,-0.9,,-0.9,,-1.4,
,Rhode Island/b,"3,337","3,158",179,,"3,318","3,128",190,,-0.6,,-0.9,,6.1,
,South Carolina,"22,914","21,528","1,386",,"22,388","21,051","1,337",,-2.3,,-2.2,,-3.5,
,South Dakota,"3,535","3,094",441,,"3,650","3,227",423,,3.3,,4.3,,-4.1,
