Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112at10.csv,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Sentenced federal prisoners, by sex and most serious offense, December 31, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program",,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
"Appendix table 10. Sentenced federal prisoners, by sex and most serious offense, December 31, 2002, 2011, and 2012",,,,,,,,,,,,,,,,,,,
,,2002,,,,2011,,,,2012,,,,Percent change 2011–2012,,,,,
Most serious offense,,All inmates,Male,Female,,All inmates,Male,Female,,All inmates,Male,Female,,All inmates,,Male,,Female,
,Total,"143,040","133,732","9,308",,"197,050","184,901","12,149",,"196,574","184,258","12,316",,-0.2,%,-0.3,%,1.4,%
Violent,,"13,586","13,147",438,,"14,882","14,281",601,,"11,688","11,226",463,,-21.5,%,-21.4,%,-22.9,%
,Homicide/a,"1,253","1,191",61,,"2,839","2,656",183,,"1,378","1,272",106,,-51.5,,-52.1,,-42.3,
,Robbery,"9,611","9,307",304,,"8,091","7,844",246,,"7,110","6,904",206,,-12.1,,-12,,-16.4,
,Other violent,"2,722","2,649",73,,"3,952","3,781",171,,"3,201","3,050",151,,-19,,-19.3,,-11.6,
Property,,"10,033","8,533","1,500",,"10,697","8,701","1,996",,"11,568","9,250","2,318",,8.1,%,6.3,%,16.1,%
,Burglary,230,219,11,,410,391,19,,172,159,13,,-58,,-59.2,,-32.4,
,Fraud,"6,517","5,472","1,045",,"7,768","6,165","1,603",,"8,827","6,964","1,863",,13.6,,13,,16.2,
,Other property,"3,286","2,842",444,,"2,519","2,145",374,,"2,569","2,127",442,,2,,-0.8,,18.2,
Drug/b,,"80,986","74,823","6,163",,"94,636","87,709","6,927",,"99,426","92,291","7,135",,5.1,%,5.2,%,3,%
Public order,,"37,353","36,219","1,134",,"68,910","66,805","2,105",,"72,519","70,219","2,300",,5.2,%,5.1,%,9.3,%
,Immigration,"15,628","15,314",314,,"22,043","21,427",616,,"23,700","23,020",680,,7.5,,7.4,,10.3,
,Weapons,"13,781","13,574",207,,"29,790","29,285",505,,"30,046","29,567",480,,0.9,,1,,-5.1,
,Other,"7,944","7,332",612,,"17,077","16,094",983,,"18,773","17,633","1,141",,9.9,,9.6,,16,
Other/unspecified/c,,"1,083","1,009",73,,:,:,:,,"1,372","1,272",100,,:,%,:,%,:,%
Note: Counts are based on prisoners with a sentence of more than 1 year under federal jurisdiction. See Methodology.,,,,,,,,,,,,,,,,,,,
: Not calculated. 2011 data included individuals commiting drug and public order crimes that could not be separated from valid unspecified records.,,,,,,,,,,,,,,,,,,,
"a/Includes murder, negligent, and nonnegligent manslaughter.",,,,,,,,,,,,,,,,,,,
"b/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,,,,,,,
c/Includes offenses not classified.,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and Federal Justice Statistics Program, 2002, 2011, and 2012.",,,,,,,,,,,,,,,,,,,
