Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p13t08.csv,,,,,,,,,,,,,
"Table 8. Imprisonment rate of sentenced state and federal prisoners per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2013",,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State and Federal Correctional Facilities",,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 8. Imprisonment rate of sentenced state and federal prisoners per 100,000 U.S. residents, by sex, race, Hispanic origin, and age, December 31, 2013",,,,,,,,,,,,,
,,,Male,,,,,,Female,,,,
Age,,Total/a,Total male/a,White/b,Black/b,Hispanic,"Other/a,b",,Total female/a,White/b,Black/b,Hispanic,"Other/a,b"
,Total/c,478,904,466,"2,805","1,134",963,,65,51,113,66,90
18–19,,181,340,115,"1,092",412,344,,14,7,33,17,24
20–24,,755,"1,382",601,"3,956","1,617","1,472",,95,73,154,100,131
25–29,,"1,067","1,937",954,"5,730","2,289","2,082",,168,140,260,173,232
30–34,,"1,187","2,183","1,104","6,746","2,529","2,257",,180,156,277,169,235
35–39,,"1,071","1,994","1,009","6,278","2,321","1,951",,151,133,240,133,178
40–44,,917,"1,713",938,"5,244","2,007","1,730",,131,113,224,107,144
45–49,,782,"1,464",827,"4,486","1,700","1,495",,112,90,202,99,135
50–54,,567,"1,082",615,"3,382","1,382","1,171",,70,54,128,72,94
55–59,,348,679,389,"2,132","1,016",750,,36,26,72,44,52
60–64,,208,415,252,"1,269",714,497,,19,14,34,25,27
65 or older,,70,153,108,406,301,206,,5,4,7,8,8
 Total number of sentenced prisoners,,"1,516,879","1,412,745","454,100","526,000","314,600","118,100",,"104,134","51,500","23,100","17,600","11,900"
"Note: Counts based on prisoners with sentences of more than a year under the jurisdiction of state or federal correctional officials. Imprisonment rate is the number of prisoners under state or federal jurisdiction with a sentence of more than a year per 100,000 U.S. residents of corresponding sex, age, and race or Hispanic origin. Resident population estimates are from the U.S. Census Bureau for January 1 of the following year. Nevada did not submit 2013 data to NPS, and Alaska did not submit sex-specific counts or sentence length data in 2013. See Methodology for imputation strategy.",,,,,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, Pacific Islanders, persons of two or more races, or additional racial categories in the reporting information systems.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,
c/Includes persons age 17 or younger.,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2013; Federal Justice Statistics Program, 2013; National Corrections Reporting Program, 2012; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, resident population estimates for January 1, 2014.",,,,,,,,,,,,,
