Bureau of Justice Statistics,,,,,,
Filename: p13t10.csv,,,,,,
"Table 10. California state prison custody population, facility operational and design capacities, and percent capacity, December 31, 2000–2013",,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,
"Data source(s): National Prisoner Statistics Program, California Department of Corrections and Rehabilitation monthly population reports",,,,,,
Author(s): E. Ann Carson,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 08/27/2014,,,,,,
,,,,,,
,,,,,,
"Table 10. California state prison custody population, facility operational and design capacities, and percent capacity, December 31, 2000–2013",,,,,,
,Design,,Custody,,Custody population as a,
Year,capacity,,population,,percent of design capacity,
2000,"80,467",,"152,859",,190,%
2001,"79,957",,"149,654",,187.2,
2002,"80,587",,"152,225",,188.9,
2003,"80,487",,"155,657",,193.4,
2004,"80,890",,"158,307",,195.7,
2005,"87,250",,"162,545",,186.3,
2006,"83,551",,"166,445",,199.2,
2007,"82,936",,"162,841",,196.3,
2008,"84,066",,"158,931",,189.1,
2009,"84,056",,"160,866",,191.4,
2010,"84,181",,"152,575",,181.2,
2011,"84,130",,"138,274",,164.4,
2012,"84,130",,"123,090",,146.3,
2013,"86,054",,"122,798",,142.7,
Percent change,,,,,,
,"Average annual,  2003–2012",,0.4,%,-1.8,%
,2012–2013,,2.3,,-0.2,
,,,,,,
"Note: Counts based on all inmates in physical custody of California state prisons and camps, regardless of sentence length. These may differ from previously published custody counts due to the exclusion of private prison beds from the custody population in this table.",,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2013; California Department of Corrections and Rehabilitation monthly population reports, December 31, 2000-2013, http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Monthly/Monthly_Tpop1a_Archive.html, accessed August 12, 2014.",,,,,,
