Bureau of Justice Statistics,,,,,,,,,
Filename: p13t11.csv,,,,,,,,,
"Table 11. California state prisoners serving enhanced sentences or sentences of life or death, June 2007–June 2013",,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,
Data source(s): California Department of Corrections and Rehabilitation quarterly Statewide Prison Census reports,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 11. California state prisoners serving enhanced sentences or sentences of life or death, June 2007–June 2013",,,,,,,,,
,,,California state prisoners serving sentences of—,,,,,,
Year,Month,Total prisoners*,Two strikes,Three strikes,Life with parole,Life without parole,Death,Percent of prisoners serving enhanced or life/death sentences,
2007,June,"173,274","36,054","8,089","21,595","3,545",639,40.4,%
,December,"171,568","35,670","8,203","21,970","3,622",639,40.9,
2008,June,"171,069","35,373","8,244","22,424","3,713",650,41.2,
,December,"171,161","35,160","8,342","22,854","3,814",654,41.4,
2009,June,"167,981","34,491","8,427","23,254","3,888",666,42.1,
,December,"168,905","34,572","8,515","23,712","3,974",675,42.3,
2010,June,"165,919","34,499","8,584","24,143","4,085",687,43.4,
,December,"162,976","34,365","8,667","24,579","4,177",697,44.5,
2011,June,"164,186","34,844","8,780","25,135","4,303",715,44.9,
,December,"148,807","33,179","8,797","25,384","4,419",718,48.7,
2012,June,"136,431","32,782","8,872","25,685","4,511",723,53.2,
,December,"133,883","33,251","8,876","25,927","4,610",725,54.8,
2013,June,"134,160","34,699","7,975","26,095","4,687",734,55.3,
*May differ from counts submitted to National Prisoner Statistics (NPS) Program due to differences in methodology.,,,,,,,,,
"Source: California Department of Corrections and Rehabilitation quarterly Statewide Prison Census reports, http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Annual/CensusArchive.html, accessed May 29, 2014.",,,,,,,,,
