Bureau of Justice Statistics,,,,,,,,,
Filename: p13t19.csv,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, December 31, 2012 and 2013",,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, December 31, 2012 and 2013",,,,,,,,,
,,Total population/a,,,,Sentenced population/b,,,
,,2012,2013,"Percent change, 2012–2013",,2012,2013,"Percent change, 2012–2013",
,Total,"1,435","1,421",-1,%,"1,014","1,056",4.1,%
Military branch of service,,,,,,,,,
,Air Force,263,287,9.1,%,182,215,18.1,%
,Army,687,685,-0.3,,531,552,4,
,Marine Corps,266,241,-9.4,,126,139,10.3,
,Navy,214,195,-8.9,,173,145,-16.2,
,Coast Guard,5,13,160,,2,5,150,
In custody of—,,,,,,,,,
,Air Force,52,37,-28.8,%,6,4,-33.3,%
,Army,809,817,1,,685,690,0.7,
,Marine Corps,89,65,-27,,2,2,0,
,Navy,485,502,3.5,,321,360,12.1,
a/Includes all prisoners under military jurisdiction regardless of sentence length.,,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,
"Source: National Prisoner Statistics Program, 2012–2013.",,,,,,,,,
