Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p14at03.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2014",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Percent of sentenced prisoners under jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2014",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age group,,Total/a,,All male/a,,White/b,,Black/b,,Hispanic,,Otherb,,,All female/a,,White/b,,Black/b,,Hispanic,,Other/b,
,Tota/lc,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,1,%,1,%,1,%,1,%,1.1,%,1.7,%,,0.6,%,0.4,%,0.9,%,1.1,%,0,%
20–24,,11,,11,,8,,13,,12.3,,15,,,10,,8.3,,11.5,,12.4,,8.6,
25–29,,16,,15,,14,,16,,17.2,,16.9,,,17.5,,17.3,,16.8,,19.7,,18,
30–34,,17,,17,,15,,16,,18.5,,17.4,,,18.6,,18.8,,16.8,,20.8,,18.8,
35–39,,14,,14.2,,13,,14,,16,,13.5,,,14.7,,14.7,,13.7,,15.7,,14.8,
40–44,,12,,12.2,,12.6,,11.9,,12.4,,11.4,,,12.8,,13.4,,12.8,,11.2,,13.3,
45–49,,11,,10,,12,,10.3,,9.1,,9,,,10.9,,11.1,,12.4,,9,,10.9,
50–54,,9,,8.5,,11,,8.2,,6.4,,7,,,7.7,,8.1,,8.4,,5.6,,7.8,
55–59,,5,,5,,7,,5,,4,,4,,,3.9,,4,,4.4,,2.8,,3.9,
60–64,,2.7,,3,,3.7,,2.2,,1.9,,2.1,,,1.8,,2.1,,1.8,,1.1,,1.6,
65 or older,,2.3,,2.3,,3.9,,1.3,,1.5,,1.9,,,1.2,,1.5,,0.9,,0.6,,1.6,
,Number of sentenced prisoners/d,"1,508,636",,"1,402,404",,"453,500",,"516,900",,"308,700",,"123,300",,,"106,232",,"53,100",,"22,600",,"17,800",,"12,800",
"Note: Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials. Alaska did not submit 2014 data to the National Prisoner Statistics (NPS), so totals include imputed counts for this state. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
d/Race totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics, 2014; Federal Justice Statistics Program, 2014; National Corrections Reporting Program, 2013; and Survey of Inmates in State and Federal Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,,,,,
