Bureau of Justice Statistics,,,,,,,,,
Filename: p14at07.csv,,,,,,,,,
"Appendix table 7. Prisoners under the jurisdiction or in the custody of U.S. territories and commonwealths and prison facility capacity, December 31, 2014",,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,
,,,,,,,,,
"Appendix table 7. Prisoners under the jurisdiction or in the custody of U.S. territories and commonwealths and prison facility capacity, December 31, 2014",,,,,,,,,
,,Jurisdiction population,,,Custody population,,Capacity,,
Jurisdiction,,Total/a,Sentenced to more than 1 yeara,,Total,,Rated,Operational,Design
,Total,"12,257","10,634",,"14,045",,,,
American Samoa/b,,/,/,,212,,/,/,/
Guam,,721,316,,754,,443,…,443
Commonwealth of the Northern Mariana Islands,,175,143,,175,,559,272,559
Commonwealth of Puerto Rico,,"10,692","9,797",,"12,327",,"13,832","13,832","14,632"
U.S. Virgin Islands/c,,669,378,,577,,468,355,550
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held.",,,,,,,,,
…Not available. Specific type of capacity is not measured by territory.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Does not include counts for American Samoa.,,,,,,,,,
b/American Samoa has not submitted  National Prisoner Statistics (NPS) data since 2011. The data presented here were located in the 2013 American Samoa Statistical Yearbook (http://doc.as.gov/wp-content/uploads/2011/06/2013-Statistical-Yearbook-Final-Draft.pdf) and represent the number of persons in custody as of December 2013. ,,,,,,,,,
c/The U.S. Virgin Islands did not submit 2014 NPS data and had inconsistent 2013 data. Data used are from 2012.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014.",,,,,,,,,
