Bureau of Justice Statistics,,,
Filename: p14f01.csv,,,
"Figure 1. Total, state, and federal U.S. prison population, 2004–2014 ",,,
Report title: Prisoners in 2014 NCJ 248955,,,
Data source(s): National Prisoner Statistics Program,,,
Author(s): E. Ann Carson,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 09/08/2015,,,
,,,
,,,
"Figure 1. Total, state, and federal U.S. prison population, 2004–2014 ",,,
,Total US prison population,State,Federal
2004,1497100,1316772,180328
2005,1525910,1338292,187618
2006,1568674,1375628,193046
2007,1596835,1397217,199618
2008,1608282,1407002,201280
2009,1615487,1407369,208118
2010,1613803,1404032,209771
2011,1598968,1382606,216362
2012,1570397,1352582,217815
2013,1576950,1361084,215866
2014,1561525,1350958,210567
,,,
Note: Counts based on all prisoners under the jurisdiction of state and federal correctional authorities.,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,,
