Bureau of Justice Statistics,,
Filename: p14f04.csv,,
"Figure 4. Admissions to and releases from state prison, 2004–2014",,
Report title: Prisoners in 2014 NCJ 248955,,
Data source(s): National Prisoner Statistics Program,,
Author(s): E. Ann Carson,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 09/08/2015,,
,,
,,
"Figure 4. Admissions to and releases from state prison, 2004–2014",,
Year,State admissions,State releases
2004,644084,625578
2005,674084,653309
2006,689536,661954
2007,689257,672397
2008,684987,683303
2009,672533,679029
2010,649677,656190
2011,610917,635833
2012,552504,580679
2013,576298,569205
2014,575779,581817
,,
"Note: Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. See Methodology. See appendix table 1 for counts.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,
