Bureau of Justice Statistics,,
Filename: p14f05.csv,,
"Figure 5. Admissions to and releases from federal prison, 2004–2014",,
Report title: Prisoners in 2014 NCJ 248955,,
Data source(s): National Prisoner Statistics Program,,
Author(s): E. Ann Carson,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 09/08/2015,,
,,
,,
"Figure 5. Admissions to and releases from federal prison, 2004–2014",,
Year,Federal releases,Federal admissions
2004,46624,52982
2005,48323,56057
2006,47920,57495
2007,48764,53618
2008,52348,53662
2009,50720,56153
2010,52487,54121
2011,55239,60634
2012,56037,55938
2013,54785,53664
2014,54529,50865
,,
"Note: Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. See Methodology. See appendix table 2 for counts.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,
