Bureau of Justice Statistics,,,,,,
Filename: p14f06.csv,,,,,,
"Figure 6. Percent of total prisoners under state or federal jurisdiction in the custody of private prison facilities, December 31, 1999–2014",,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,
Author(s): E. Ann Carson,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 09/08/2015,,,,,,
,,,,,,
"Figure 6. Percent of total prisoners under state or federal jurisdiction in the custody of private prison facilities, December 31, 1999–2014",,,,,,
,Total,,State,,Federal,
1999,5.06,%,5.3,%,2.83,%
2000,6.57,,6.09,,10.68,
2001,6.16,,5.91,,8.11,
2002,6.14,,5.77,,9.01,
2003,6.14,,5.7,,9.41,
2004,6.18,,5.61,,10.38,
2005,7.04,,6.01,,14.42,
2006,7.25,,6.25,,14.36,
2007,7.77,,6.64,,15.69,
2008,8.05,,6.85,,16.48,
2009,8.01,,6.77,,16.38,
2010,7.93,,6.7,,16.13,
2011,8.19,,6.68,,17.82,
2012,8.74,,7.15,,18.57,
2013,8.46,,6.77,,19.07,
2014,8.41,,6.75,,19,
,,,,,,
"Note: Counts based on prisoners with a sentence of more than 1 year. Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. See Methodology. See appendix table 2 for counts.",,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014.",,,,,,
