Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: p14t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2004–2014",,,,,,,,,,,,,,,,,,
,,"Per 100,000 U.S. residents of all ages",,"Per 100,000 adult U.S. residents",,,,,,,,,,,,,,
Year,,Total/a,,"Federal/a,b",,State/a,,Male/a,,Female/a,,,Total/c,,Male/c,,Female/c,
2004,,487,,54,,433,,923,,64,,,649,,"1,248",,84,
2005,,492,,56,,436,,932,,65,,,655,,"1,257",,86,
2006,,501,,58,,443,,948,,68,,,666,,"1,275",,89,
2007,,506,,59,,447,,955,,69,,,670,,"1,282",,90,
2008,,506,,60,,447,,956,,69,,,669,,"1,279",,90,
2009,,504,,61,,443,,952,,67,,,665,,"1,271",,88,
2010,,500,,61,,439,,948,,66,,,656,,"1,260",,86,
2011,,492,,63,,429,,932,,65,,,644,,"1,236",,84,
2012,,480,,62,,417,,909,,63,,,626,,"1,201",,82,
2013/d,,477,,61,,416,,903,,65,,,621,,"1,189",,83,
2014/e,,471,,60,,412,,890,,65,,,612,,"1,169",,84,
Percent change,,,,,,,,,,,,,,,,,,
,"Average annual, 2004–2013",-0.2,%,1.3,%,-0.4,%,-0.2,%,0.1,%,,-0.4,%,-0.5,%,-0.2,%
,2013–2014,-1.3,,-2.6,,-1.1,,-1.5,,1.3,,,-1.5,,-1.7,,1.1,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials.",,,,,,,,,,,,,,,,,,
"a/Imprisonment rate per 100,000 U.S. residents of all ages.",,,,,,,,,,,,,,,,,,
b/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,,,,,,,,
"c/Imprisonment rate per 100,000 U.S. residents age 18 or older.",,,,,,,,,,,,,,,,,,
"d/Nevada did not submit 2013 National Prisoner Statistics (NPS) data, and Alaska did not submit sex-specific jurisdiction counts to NPS in 2013, so data for these states were imputed. See Methodology.",,,,,,,,,,,,,,,,,,
"e/Total and state estimates include imputed counts for Alaska, which did not submit 2014 NPS data. See Methodology.",,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics, 2004–2014; U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,,,,,,,
