Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p14t10.csv,,,,,,,,,,,,,
"Table 10. Imprisonment rate of sentenced state and federal prisoners per 100,000 U.S. residents, by demographic characteristics, December 31, 2014",,,,,,,,,,,,,
Report title: Prisoners in 2014 NCJ 248955,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 09/08/2015,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 10. Imprisonment rate of sentenced state and federal prisoners per 100,000 U.S. residents, by demographic characteristics, December 31, 2014",,,,,,,,,,,,,
,,,Male,,,,,,Female,,,,
Age group,,Total/a,All malea,White/b,Blackb,Hispanic,Other/b,,All female/a,White/b,Black/b,Hispanic,Other/b
,Total/c,471,890,465,"2,724","1,091",968,,65,53,109,64,93
18–19,,169,317,102,"1,072",349,542,,14,8,32,17,12
20–24,,746,"1,365",584,"3,868","1,521","1,755",,96,72,152,94,109
25–29,,"1,055","1,912",958,"5,434","2,245","2,022",,170,150,244,165,208
30–34,,"1,161","2,129","1,111","6,412","2,457","2,193",,185,163,264,174,225
35–39,,"1,067","1,982","1,029","6,122","2,272","1,878",,155,138,229,137,189
40–44,,904,"1,689",942,"5,105","1,933","1,619",,132,119,213,107,174
45–49,,758,"1,417",815,"4,352","1,602","1,444",,111,90,203,94,161
50–54,,567,"1,081",633,"3,331","1,320","1,112",,72,57,128,67,124
55–59,,358,698,400,"2,178",978,832,,37,27,72,42,63
60–64,,212,422,252,"1,265",680,483,,20,15,37,25,37
65 or older,,72,158,109,418,299,208,,5,4,8,7,12
,Number of sentenced prisonersd,"1,508,636","1,402,404","453,500","516,900","308,700","123,300",,"106,232","53,100","22,600","17,800","12,800"
"Note: Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional authorities. Imprisonment rate is the number of prisoners under state or federal jurisdiction with a sentence of more than 1 year per 100,000 U.S. residents of corresponding sex, age, and race or Hispanic origin. Resident population estimates are from the U.S. Census Bureau for January 1, 2015. Alaska did not submit 2014 data to the National Prisoner Statistics (NPS), so totals include imputed counts for this state. See Methodology.",,,,,,,,,,,,,
"a/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and other Pacific Islanders; and persons of two or more races.",,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,,,,,,,
c/Includes persons age 17 or younger. ,,,,,,,,,,,,,
d/Race totals are rounded to the nearest 100 to accommodate differences in data collection techniques between jurisdictions.,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics, 2014; Federal Justice Statistics Program, 2014; National Corrections Reporting Program, 2013; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2015.",,,,,,,,,,,,,
