Bureau of Justice Statistics,,,
File name: p15f01.csv,,,
"Figure 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 1978–2015",,,
"Report title: Prisoners in 2015,  NCJ 250229",,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 12/29/2016,,,
,,,
"Figure 1. Prisoners under the jurisdiction of state or federal correctional authorities, December 31, 1978–2015",,,
,,,
Year,Number of Prisoners,,
,U.S. Prison population,,Annual percent change
2005,"1,525,910",,2.8
2006,"1,568,670",,1.8
2007,"1,596,840",,0.7
2008,"1,608,280",,0.4
2009,"1,615,490",,-0.1
2010,"1,613,800",,-0.9
2011,"1,598,970",,-1.8
2012,"1,570,400",,0.4
2013,"1,576,950",,-0.9
2014,"1,562,320",,-2.3
2015,"1,526,790",,
,,,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2015.",,,
