Bureau of Justice Statistics,,,
File name: p15f04.csv,,,
"Figure 4. Imprisonment rate of persons under the jurisdiction of state or federal correctional authorities per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, December 31, 2005–2015",,,
"Report title: Prisoners in 2015,  NCJ 250229",,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2005–2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 12/29/2016,,,
,,,
"Figure 4. Imprisonment rate of persons under the jurisdiction of state or federal correctional authorities per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, December 31, 2005–2015",,,
,,,
Year,White/a,Black/a,Hispanic
2005,319,"2,228",1084
2006,325,"2,227",1107
2007,324,"2,232",1123
2008,327,"2,216",1085
2009,325,"2,183",1078
2010,329,"2,128",1025
2011,326,"2,058",996
2012,315,"1,920",926
2013,317,"1,882",898
2014,317,"1,824",860
2015,312,"1,745",820
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than 1 year. Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. Rates are per 100,000 U.S. residents age 18 or older of corresponding race or Hispanic origin.",,,
*Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2005–2015; Federal Justice Statistics Program, 2015; National Corrections Reporting Program, 2014; Survey of Inmates in State and Federal Correctional Facilities, 2004; and U.S. Census Bureau, postcensal resident population estimates for January 1 of the following calendar year.",,,
