Bureau of Justice Statistics,,,,,,,,,,,
File name: p15t01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2005–2015",,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2005–2015",,,,,,,,,,,
,,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,
2005,,"1,525,910",,"187,618",,"1,338,292",,"1,418,392",,"107,518",
2006,,"1,568,674",,"193,046",,"1,375,628",,"1,456,366",,"112,308",
2007,,"1,596,835",,"199,618",,"1,397,217",,"1,482,524",,"114,311",
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015/b,,"1,526,792",,"196,455",,"1,330,337",,"1,415,297",,"111,495",
Percent change,,,,,,,,,,,
,"Average annual,",,,,,,,,,,
,2005–2014,0.2,%,1.2,%,0.1,%,0.2,%,0.5,%
,2014–2015,-2.3,,-6.7,,-1.6,,-2.3,,-1.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held.",,,,,,,,,,,
"a/Includes prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities.",,,,,,,,,,,
"b/Total and state estimates include imputed counts for Nevada and Oregon, which did not submit 2015 data to National Prisoner Statistics. See Methodology.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2005–2015.",,,,,,,,,,,
