Bureau of Justice Statistics,,
Filename: p17at01.csv,,
"Appendix table 1. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents, 1978–2017",,
Report title: Prisoners in 2017  NCJ 252156,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2017; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,
Date of version: 4/25/2019,,
,,
"Appendix table 1. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents, 1978–2017",,
Year,All ages,Age 18 or older
1978,131,183
1979,133,185
1980,138,191
1981,153,211
1982,170,232
1983,179,243
1984,187,254
1985,201,272
1986,216,293
1987,230,311
1988,246,331
1989,274,369
1990,295,398
1991,311,420
1992,330,446
1993,360,486
1994,389,526
1995,411,556
1996,427,577
1997,444,599
1998,463,623
1999,476,640
2000,470,632
2001,470,630
2002,477,639
2003,483,645
2004,487,649
2005,492,655
2006,501,666
2007,506,670
2008,506,669
2009,504,665
2010,500,656
2011,492,644
2012,479,626
2013,479,623
2014,471,611
2015,459,595
2016,450,582
2017,440,568
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2017; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,
