Bureau of Justice Statistics,,,
Filename: p17f02.csv,,,
"Figure 2. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, 2007–2017",,,
Report title: Prisoners in 2017  NCJ 252156,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017; National Corrections Reporting Programs, 2016; Survey of Inmates in State Correctional Facilities, 2004; Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 4/25/2019,,,
,,,
"Figure 2. Imprisonment rates of sentenced prisoners under the jurisdiction of state or federal correctional authorities, per 100,000 U.S. residents age 18 or older, by race and Hispanic origin, 2007–2017",,,
,Non-Hispanic white,Non-Hispanic black,Hispanic
2007,317,"2,233","1,094"
2008,316,"2,196","1,057"
2009,308,"2,134","1,060"
2010,307,"2,059","1,014"
2011,299,"1,973",990
2012,293,"1,873",949
2013,291,"1,817",922
2014,289,"1,754",893
2015,281,"1,670",862
2016,274,"1,609",857
2017,272,"1,549",823
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with a sentence of more than one year. Imprisonment rate is per 100,000 U.S. residents age 18 or older. See table 5 for imprisonment rates. See Methodology for the calculation of race or Hispanic origin imprisonment rates.",,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017; National Corrections Reporting Programs, 2016; Survey of Inmates in State Correctional Facilities, 2004; Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,
