Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p17t05.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rates of sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and demographic characteristics, 2007–2017",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rates of sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and demographic characteristics, 2007–2017",,,,,,,,,,,,,,,,,,,,,,,,
,,"Per 100,000 U.S. residents of all ages",,"Per 100,000 U.S. residents age 18 or older",,,,,,,,,,,,,,,,,,,,
Year,,Total,,Federal/a,,State,,Male,,Female,,,Total,,Male,,Female,,White/b,,Black/b,,Hispanic,
2007,,506,,59,,447,,955,,69,,,670,,"1,282",,90,,317,,"2,233",,"1,094",
2008,,506,,60,,447,,956,,69,,,669,,"1,279",,90,,316,,"2,196",,"1,057",
2009,,504,,61,,443,,952,,67,,,665,,"1,271",,88,,308,,"2,134",,"1,060",
2010,,500,,61,,439,,948,,66,,,656,,"1,260",,86,,307,,"2,059",,"1,014",
2011,,492,,63,,429,,932,,65,,,644,,"1,236",,84,,299,,"1,973",,990,
2012,,480,,62,,417,,910,,63,,,626,,"1,201",,82,,293,,"1,873",,949,
2013,,479,,61,,417,,906,,65,,,623,,"1,193",,83,,291,,"1,817",,923,
2014,,471,,60,,411,,890,,65,,,612,,"1,169",,84,,289,,"1,754",,893,
2015,,458,,55,,403,,865,,64,,,594,,"1,133",,82,,281,,"1,670",,862,
2016/c,,450,,53,,397,,847,,64,,,582,,"1,108",,82,,274,,"1,606",,852,
2017/d,,440,,51,,390,,829,,63,,,568,,"1,082",,81,,272,,"1,549",,823,
Percent change,,,,,,,,,,,,,,,,,,,,,,,,
,2007–2017,-12.9,%,-14,%,-12.8,%,-13.2,%,-8,%,,-15.2,%,-15.6,%,-10.3,%,-14.4,%,-30.7,%,-24.8,%
,2016–2017,-2.1,,-3.8,,-1.9,,-2.1,,-1.4,,,-2.3,,-2.4,,-1.6,,-1,,-3.6,,-3.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with a sentence of more than one year. ",,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes prisoners held in non-secure, privately operated community corrections facilities and juveniles held in contract facilities. ",,,,,,,,,,,,,,,,,,,,,,,,
"b/Excludes persons of Hispanic/Latino origin (e.g., white refers to non-Hispanic white; black refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"c/Total and state estimates for 2016 include imputed counts for North Dakota, which did not submit 2016 National Prisoner Statistics data. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"d/Total and state estimates include imputed counts for New Mexico and North Dakota, which did not submit 2017 National Prisoner Statistics data. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2007–2017; Federal Justice Statistics Program, 2017 (preliminary); National Corrections Reporting Program, 2016; Survey of Inmates in State and Federal Correctional Facilities, 2004; Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,,,,,,,,,,,,,
