Bureau of Justice Statistics,,,,,,,,,,
Filename: p17t18.csv,,,,,,,,,,
"Table 18. Prisoners under military jurisdiction, by branch of service, 2016 and 2017",,,,,,,,,,
Report title: Prisoners in 2017  NCJ 252156,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, Department of Defense, 2016 and 2017.",,,,,,,,,,
"Authors: Jennifer Bronson, Ph.D., and E. Ann Carson, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 4/25/2019,,,,,,,,,,
 ,,,,,,,,,,
"Table 18. Prisoners under military jurisdiction, by branch of service, 2016 and 2017",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
Jurisdiction,,2016,2017,Percent change 2016–2017,,,2016,2017,Percent change 2016–2017,
,Total number of prisoners,"1,338","1,258",-6,%,,"1,084",996,-8.1,%
Military branch of service,,,,,,,,,,
,Air Force,236,227,-3.8,%,,192,184,-4.2,%
,Army,646,570,-11.8,,,577,502,-13,
,Marine Corps,245,234,-4.5,,,153,151,-1.3,
,Navy,191,212,11,,,145,146,0.7,
,Coast Guard,20,15,-25,,,17,13,-23.5,
In custody of—,,,,,,,,,,
,Air Force,27,30,11.1,%,,5,4,-20,%
,Army,781,730,-6.5,,,713,659,-7.6,
,Marine Corps,109,132,21.1,,,27,62,129.6,
,Navy,421,366,-13.1,,,339,271,-20.1,
Note: Counts are for December 31 of each year.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,,
b/Includes prisoners sentenced to more than one year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, Department of Defense, 2016 and 2017.",,,,,,,,,,
