Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p20stat03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 3. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and age, December 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 3. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or ethnicity, and age, December 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Males,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,
Age,,Total,,All males,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",,,All females,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.7,,0.7,,0.4,,1,,0.6,,0.4,,0.5,,0.6,,,0.4,,0.3,,0.8,,0.6,,^,,^,,0.8,
20–24,,8.1,,8.1,,5.5,,10.1,,9.3,,7.5,,6.6,,6.1,,,7.2,,5.6,,10,,9.6,,6.8,,8.6,,10.6,
25–29,,15.1,,15,,11.8,,16.7,,16.8,,14.1,,15.1,,13.1,,,16.4,,14.8,,18.6,,18.8,,17.8,,15,,14.7,
30–34,,16.3,,16.1,,15.2,,16.1,,17.2,,17.5,,16.4,,14.9,,,19.8,,19.9,,17.9,,21.5,,19.8,,17.1,,15,
35–39,,15.5,,15.2,,15.8,,14.1,,16.5,,16.3,,17.7,,15.3,,,18.6,,19.5,,15,,19.5,,20,,19.3,,14.7,
40–44,,12.5,,12.5,,13,,11.7,,13.2,,13.1,,13.3,,13.4,,,13,,13.6,,11.8,,12.6,,13.8,,13.6,,13.4,
45–49,,9.7,,9.7,,10.7,,9.1,,9.4,,9.6,,11.4,,11.5,,,9.4,,10.2,,8.8,,7.4,,8,,10.1,,10.6,
50–54,,8,,8.1,,9.4,,7.9,,6.7,,8.3,,7.3,,8.7,,,6.7,,7.1,,7.7,,5,,6,,6,,8,
55–59,,6.6,,6.7,,8.1,,6.6,,4.9,,6.1,,5.5,,6.9,,,4.6,,4.9,,5.4,,3,,3.8,,4.7,,6.7,
60–64,,4,,4.1,,5.1,,3.9,,2.8,,3.5,,3,,5,,,2.2,,2.3,,2.5,,1.2,,2.2,,2.1,,3.1,
65 or older,,3.6,,3.7,,5.2,,2.7,,2.5,,3.6,,3,,4.6,,,1.6,,1.8,,1.5,,0.7,,1.4,,3.1,,2.3,
,Number of sentenced prisoners/e,"1,040,138",,"970,244",,"292,100",,"331,700",,"214,500",,"14,100",,"12,000",,"105,800",,,"69,894",,"34,000",,"12,600",,"11,400",,"1,800",,500,,"9,600",
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Counts and percentages are based on prisoners with a sentence of more than 1 year under the jurisdiction of state correctional officials. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^Estimate based on 10 or fewer prisoners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates are rounded to the nearest 100. Includes prisoners age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019; National Prisoner Statistics, 2020; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
