Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p20stt12.csv,,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 12. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,,
Jurisdiction,,2019,2020,"Change, 2019–2020","Percent change, 2019–2020",,"Percent of total jurisdiction population, 2020",,2019,2020,"Change, 2019–2020","Percent change, 2019–2020",,"Percent of total jurisdiction population, 2020",
,U.S. total,"115,962","100,151","-15,811",-13.6,%,8.2,%,"78,625","73,321","-5,304",-6.7,%,6,%
Federal/b,,"27,409","27,810",401,1.5,%,18.3,%,698,843,145,20.8,%,0.6,%
State,,"88,553","72,341","-16,212",-18.3,%,6.8,%,"77,927","72,478","-5,449",-7,%,6.8,%
,Alabama,122,254,132,108.2,,1,,"2,569","3,846","1,277",49.7,,15.2,
,Alaska/c,221,206,-15,-6.8,,4.5,,38,21,-17,-44.7,,0.5,
,Arizona/d,"8,299","7,185","-1,114",-13.4,,19,,0,0,0,0,,0,
,Arkansas,0,0,0,0,,0,,"1,667","2,256",589,35.3,,14,
,California/e,"1,134",0,"-1,134",-100,,0,,"1,599",375,"-1,224",-76.5,,0.4,
,Colorado,"3,858","2,784","-1,074",-27.8,,17.2,,238,"1,091",853,358.4,,6.7,
,Connecticut/c,526,397,-129,-24.5,,4.2,,~,~,:,:,,:,
,Delaware/c,~,~,:,:,,:,,~,~,:,:,,:,
,Florida,"11,915","10,810","-1,105",-9.3,,13.3,,"1,109",805,-304,-27.4,,1,
,Georgia,"7,883","6,525","-1,358",-17.2,,13.8,,"4,867","3,999",-868,-17.8,,8.5,
,Hawaii/c,"1,248",999,-249,-20,,24,,~,~,:,:,,:,
,Idaho,"1,048",727,-321,-30.6,,8.9,,"1,015",682,-333,-32.8,,8.3,
,Illinois,513,95,-418,-81.5,,0.3,,0,0,0,0,,0,
,Indiana/f,"4,093","3,719",-374,-9.1,,15.5,,316,"1,361","1,045",330.7,,5.7,
,Iowa,0,0,0,0,,0,,0,67,67,0,,0.8,
,Kansas,0,0,0,0,,0,,208,65,-143,-68.8,,0.7,
,Kentucky,895,725,-170,-19,,3.9,,"10,862","8,750","-2,112",-19.4,,47.2,
,Louisiana,0,0,0,0,,0,,"16,567","13,061","-3,506",-21.2,,48.4,
,Maine,0,0,0,0,,0,,11,1,-10,-90.9,,0.1,
,Maryland,29,0,-29,-100,,0,,109,143,34,31.2,,0.9,
,Massachusetts,~,~,:,:,,:,,277,193,-84,-30.3,,2.9,
,Michigan,0,0,0,0,,0,,0,0,0,0,,0,
,Minnesota,0,0,0,0,,0,,894,645,-249,-27.9,,7.9,
,Mississippi,"3,139","3,240",101,3.2,,18.4,,"5,442","5,838",396,7.3,,33.2,
,Missouri,0,0,0,0,,0,,0,0,0,0,,0,
,Montana,"2,222","1,962",-260,-11.7,,50,,295,279,-16,-5.4,,7.1,
,Nebraska,0,0,0,0,,0,,131,57,-74,-56.5,,1.1,
,Nevada,100,0,-100,-100,,0,,16,9,-7,-43.8,,0.1,
,New Hampshire,0,0,0,0,,0,,52,53,1,1.9,,2.3,
,New Jersey,"2,297",553,"-1,744",-75.9,,4.3,,227,751,524,230.8,,5.9,
,New Mexico,"2,445","2,457",12,0.5,,44.7,,0,0,0,0,,0,
,New York,0,0,0,0,,0,,0,0,0,0,,0,
,North Carolina,30,33,3,10,,0.1,,~,~,:,:,,:,
,North Dakota,308,255,-53,-17.2,,18.2,,4,6,2,50,,0.4,
,Ohio,"6,766","6,204",-562,-8.3,,13.8,,0,0,0,0,,0,
,Oklahoma,"6,474","4,616","-1,858",-28.7,,20.6,,9,11,2,22.2,,0,
,Oregon/g,/,0,:,:,,0,,/,0,:,:,,0,
,Pennsylvania,511,315,-196,-38.4,,0.8,,0,0,0,0,,0,
,Rhode Island/c,~,~,:,:,,:,,~,~,:,:,,:,
,South Carolina,84,84,0,0,,0.5,,346,300,-46,-13.3,,1.9,
,South Dakota,33,27,-6,-18.2,,0.8,,1,0,-1,-100,,0,
,Tennessee,"7,635","6,984",-651,-8.5,,30.8,,"7,048","5,298","-1,750",-24.8,,23.4,
,Texas,"12,516","9,249","-3,267",-26.1,,6.8,,"12,055","11,210",-845,-7,,8.2,
,Utah,0,0,0,0,,0,,"1,506","1,320",-186,-12.4,,24.2,
,Vermont/c,268,194,-74,-27.6,,15.1,,~,~,:,:,,:,
,Virginia,"1,540","1,483",-57,-3.7,,4.7,,"6,750","7,474",724,10.7,,23.5,
