Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p20stt16.csv,,,,,,,,,,,,,,
"Table 16. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2019",,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2019",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 16. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2019",,,,,,,,,,,,,,
Jurisdiction,,Total number of sentenced prisoners in custody,Total/a,,Violent,,Property,,Drug,,Public order,,Other/unspecified,
,Alabama,"24,276",100,%,54.3,%,19,%,17.6,%,8.5,%,0.5,%
,Alaska/b,"2,282",100,%,81,,12.1,,2.2,,4.7,,0,
,Arizona/c,"40,753",100,%,43.8,,20.8,,23.1,,12,,0.2,
,Arkansas,"16,246",100,%,49.4,,15.6,,23.5,,8.7,,2.6,
,California,"124,445",100,%,76,,10,,3.5,,9.8,,0.1,
,Colorado,"19,789",100,%,57.6,,18.8,,7.8,,15.7,,0.2,
,Connecticut/b,"8,396",100,%,45.3,,12.2,,10.3,,24.7,,7.6,
,Delaware/b,"3,215",100,%,44.3,,6.8,,12.4,,36,,0.5,
,Florida,"94,079",100,%,56.4,,20.3,,12.8,,10.1,,0.4,
,Georgia,"54,557",100,%,65.1,,14.5,,10.9,,9,,0.2,
,Hawaii/b,"2,332",100,%,50,,26.1,,12.1,,11.8,,0.1,
,Idaho,"9,434",100,%,27.4,,22.6,,33.2,,16.6,,0.1,
,Illinois,"38,244",100,%,56.5,,12.6,,14.1,,16.7,,#,
,Indiana,"29,378",100,%,43.5,,15.7,,25.2,,14.1,,1.5,
,Iowa,"9,864",100,%,34.2,,21.5,,16.4,,12.8,,13.6,
,Kansas,"9,853",100,%,60.5,,8.4,,23.8,,7.2,,0,
,Kentucky,"23,236",100,%,38.7,,22.1,,26.1,,12.5,,0.1,
,Louisiana,"31,369",100,%,52.6,,14.8,,16.8,,15.1,,#,
,Maine,"2,087",100,%,51.4,,18.6,,21.3,,6.2,,1.4,
,Maryland,"17,934",100,%,69.9,,10.4,,11.8,,7.4,,0.1,
,Massachusetts,"8,353",100,%,68.8,,7.3,,15.9,,7.4,,0.5,
,Michigan/c,"39,670",100,%,61.2,,15.8,,9.5,,13.1,,0.1,
,Minnesota,"9,480",100,%,51.9,,9.9,,18.7,,19.4,,0.2,
,Mississippi,"19,142",100,%,53.7,,20.2,,18.4,,6.4,,1.3,
,Missouri,"26,101",100,%,57,,17.5,,16.7,,8.1,,0,
,Montana,"2,834",100,%,63.2,,14.2,,11,,11.5,,0.1,
,Nebraska,"5,338",100,%,52.5,,14.1,,16.1,,16.7,,0.2,
,Nevada,"11,947",100,%,42.3,,18.9,,9.1,,26.6,,1.8,
,New Hampshire/d,"2,651",100,%,50.6,,21.2,,14.6,,10.2,,0.1,
,New Jersey/c,"22,057",100,%,50.8,,8.2,,14.9,,8.4,,2.5,
,New Mexico/e,"7,086",100,%,52.6,,20.1,,16.2,,11.1,,0.1,
,New York,"43,321",100,%,56.8,,14.7,,13.8,,14.1,,0.7,
,North Carolina,"34,082",100,%,49.8,,13.6,,14.6,,21.9,,0.1,
,North Dakota,"1,885",100,%,46.3,,16.9,,27.6,,8.8,,0.1,
,Ohio,"49,561",100,%,56.6,,14.5,,15.2,,12.5,,1.2,
,Oklahoma,"24,780",100,%,56.1,,18.2,,16,,9.3,,0.4,
,Oregon,"14,532",100,%,65.3,,18.7,,8,,7.2,,0.5,
,Pennsylvania,"46,889",100,%,59,,13.8,,11.9,,12.9,,0.4,
