Bureau of Justice Statistics,,,,,,,,,,
Filename: p20stt20.csv,,,,,,,,,,
"Table 20. Non-U.S. citizen prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2020",,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,
,,,,,,,,,,
"Table 20. Non-U.S. citizen prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2020",,,,,,,,,,
 ,,Non-U.S. citizen prisoners/a,,,Non-U.S. citizen prisoners sentenced to more than 1 year,,,Non-U.S. citizen prisoners sentenced to 1 year or less,,
Jurisdiction,,Total ,Male,Female,Total ,Male,Female,Total ,Male,Female
"Federal/b,c,d,e",,"24,013","23,041",972,"22,179","21,268",911,142,138,4
State,,,,,,,,,,
,Alabama,/,/,/,/,/,/,/,/,/
,Alaska/f,/,/,/,/,/,/,/,/,/
,"Arizona/c,d,e","2,734","2,633",101,"2,713","2,613",100,21,20,1
,Arkansas,244,237,7,244,237,7,0,0,0
,California,/,/,/,/,/,/,/,/,/
,"Colorado/c,d,e","1,178","1,125",53,"1,178","1,125",53,0,0,0
,Connecticut/f,262,252,10,190,182,8,2,2,0
,"Delaware/c,f",57,56,1,7,6,1,33,33,0
,"Florida/c,d","5,050","4,910",140,"5,050","4,910",140,0,0,0
,"Georgia/c,e","2,345","2,234",111,"2,343","2,232",111,2,2,0
,Hawaii/f,74,68,6,40,40,0,6,6,0
,Idaho/e,175,170,5,153,149,4,0,0,0
,"Illinois/c,d,e","1,147","1,120",27,"1,147","1,120",27,0,0,0
,"Indiana/c,d,e",486,476,10,486,476,10,0,0,0
,"Iowa/c,d",179,173,6,177,172,5,0,0,0
,Kansas/c,302,295,7,302,295,7,0,0,0
,Kentucky,119,118,1,119,118,1,0,0,0
,Louisiana,113,112,1,113,112,1,0,0,0
