Year,U.S. total,Federal,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1999,1281560,125682,1155878,21227,3916,25986,10388,160687,12995,16987,6585,8652,69596,42091,4654,4234,44660,18085,7232,8569,12825,19174,1661,22729,10632,46617,5681,13278,26160,2367,3566,9313,2247,27165,5052,71809,31078,914,46619,21098,9427,36457,2926,21016,2538,16812,148535,4240,1135,28854,14283,2880,18707,1539
2000,1317304,140064,1177240,23040,4140,26510,11143,160655,16754,16671,6572,6127,71319,44232,4794,4970,45281,19701,7955,8352,11033,19361,1647,23581,10335,47718,6053,14312,27385,2557,3810,9788,2283,26559,5319,70490,31198,1023,45505,21937,10139,36784,3425,20890,2592,16993,152031,4416,1310,29173,14920,3060,19855,1542
2001,1329806,149852,1179954,24741,4570,27710,11489,157142,17278,17507,6841,-,72404,45937,5116,5270,44348,19646,7962,8574,10720,19660,1675,23739,10203,48849,6406,15131,28575,2795,3915,9862,2419,26052,5668,67554,32203,1088,44868,21719,10950,37641,3364,21719,2799,17466,148480,4145,1400,31472,15226,3403,20766,1487
2002,1367361,158216,1209145,25100,4351,29359,11849,159695,18636,18716,6637,-,75210,47445,5069,5451,42693,20349,8398,8967,11583,20010,1855,24114,9879,50591,6855,15355,29795,2870,4048,10101,2475,26301,5991,66925,32918,1117,45284,21996,11650,39724,3473,22896,2943,18297,152446,4285,1361,30937,16263,3575,21666,1641
2003,1394115,168144,1225971,27614,4472,31084,12068,161785,19450,18023,6630,-,79594,47208,5499,5558,43418,21345,8546,9168,11660,19498,1974,23768,9828,49358,7569,15863,29864,3053,4073,10584,2427,25718,6223,65388,33874,1100,44350,22688,12207,40879,3576,22942,3019,19141,153056,4623,1491,30915,16227,3790,22153,1630
2004,1421816,177600,1244216,25635,4534,32384,12577,163939,19655,17993,6753,-,83165,51104,5555,5758,44054,21984,8525,8991,13322,19470,2013,23289,9825,48831,7983,16359,30682,2703,4137,11033,2443,25435,6403,64024,35544,1130,44150,22621,12652,40506,3169,22650,3053,19331,156682,4720,1968,31072,16503,3990,22152,1765
2005,1447435,186364,1261071,24315,4798,33345,12455,168035,21063,17928,6788,-,86559,48749,5739,6249,44919,22760,8737,9090,14904,19371,1970,22553,10348,49493,8718,16089,30415,2822,4405,11662,2423,25619,6571,63032,36646,1318,45189,22907,12887,41941,3414,22456,3346,19270,157081,5058,2078,30722,16781,4036,21921,2096
2006,1488380,190844,1297536,24103,5052,35752,12854,172298,22051,18902,7021,-,90377,52792,5510,6665,45106,24901,8838,8833,15589,20815,2083,22662,10773,51515,8814,16384,30116,2948,4399,12754,2676,25554,6639,63538,37725,1337,48482,22873,13191,43971,3713,22930,3316,19312,158510,5031,2215,30823,16827,4367,22564,2035
2007,1513390,197285,1316105,25253,5151,37700,13275,171444,22666,19438,7110,-,95187,54256,5457,7055,45215,25137,8692,8721,15364,20461,2148,23184,11071,50233,9192,17478,29823,2909,4402,13311,2759,25354,6429,62738,38240,1392,49894,23778,13373,45530,3745,23578,3276,19268,158576,5165,2116,32977,16911,4907,22839,1927
2008,1522953,198414,1324539,25363,4997,39455,13135,171085,23211,19905,6944,-,99878,52719,5455,7033,45474,26392,8723,8556,15260,20857,2047,23141,11174,48738,9031,17896,30137,2910,4470,12877,2854,24835,6321,60198,39957,1379,50884,23676,13541,48736,3739,23685,3352,19379,159237,5132,2116,32585,17188,4896,22282,1704
2009,1524650,205087,1319563,27241,5472,40544,13338,168830,22725,18938,6581,-,101373,53538,4848,7184,45161,26748,8914,8644,14984,19889,2074,22066,11156,45478,9500,17212,30519,3085,4490,12570,2915,24115,6584,58479,40133,1436,50783,24053,13735,50485,3413,23685,3390,19932,158542,5244,2220,30995,17255,5062,22262,1743
2010,1521413,206968,1314445,27345,5369,40130,14192,162821,22752,18629,6378,-,102070,52794,5294,7235,48418,27273,9457,9055,14501,19008,1954,22856,11162,44113,9397,16454,30577,3137,4608,12192,2617,24488,6659,56420,40375,1416,51709,24147,13859,48087,3159,23009,3393,20037,160242,5442,2079,31911,17028,5072,22033,2092
2011,1504986,214774,1290212,26813,6216,39949,14090,147578,21862,17877,6546,-,100861,52844,5454,7470,48427,27402,9115,9330,14001,18844,1978,23001,11467,42904,9309,15390,30969,3125,4657,12159,2423,23642,6687,55196,39662,1385,50961,23750,13728,49710,3032,22363,3562,19831,159956,5294,2053,30531,17109,5149,22388,2162
2012,1479017,216915,1262102,26768,6308,40013,14043,132935,20328,17164,6730,-,99835,50282,5297,7715,49348,28034,8735,9505,12998,18601,1977,21810,11127,43594,9421,15791,31205,3095,4721,12594,2568,23050,6640,54058,37378,1413,50872,24370,14123,50228,3042,21867,3596,19817,155195,5309,2034,29708,16919,5335,22419,2187
