Year,U.S. total,Federal,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1978,131,12,119,144,122,137,115,86,89,60,168,378,233,205,52,88,94,81,67,100,94,179,52,189,48,162,49,106,116,87,80,188,32,74,120,115,214,21,121,144,114,65,55,234,73,131,182,67,70,149,115,64,74,100
1979,133,10,123,141,132,142,131,91,93,69,182,396,205,216,57,89,99,96,78,98,101,184,57,186,50,162,52,137,108,90,76,205,35,75,114,118,232,21,124,143,123,65,58,230,78,146,191,68,62,154,108,65,79,112
1980,138,9,129,163,141,159,127,98,90,88,183,427,205,217,65,86,94,114,85,105,98,211,60,183,55,163,49,150,116,94,89,227,35,75,92,123,245,28,125,158,120,68,63,237,88,153,208,63,67,160,106,64,84,113
1981,153,10,144,184,170,185,145,115,93,107,209,460,228,222,77,99,122,138,92,116,109,220,71,209,66,165,48,177,132,104,94,250,42,93,101,145,249,33,139,171,123,78,72,252,96,171,214,74,77,166,126,80,93,113
1982,170,10,160,219,194,209,171,135,99,100,253,528,259,248,91,107,122,152,98,128,109,251,78,258,73,164,50,210,151,114,100,312,47,108,106,159,255,41,161,203,146,88,82,269,109,169,236,77,84,177,146,79,100,139
1983,179,11,167,245,219,227,184,150,104,113,261,548,236,261,105,121,136,165,98,153,129,291,75,278,75,160,51,213,164,111,98,353,50,123,122,173,235,52,168,227,149,99,92,281,117,176,224,79,72,177,155,83,103,141
1984,187,12,175,259,252,249,193,161,102,118,253,587,242,250,129,126,150,166,99,175,130,310,73,285,81,161,52,232,176,117,99,377,59,138,135,187,247,55,173,240,158,110,93,285,130,156,229,92,72,189,157,82,105,143
1985,201,14,187,271,287,260,198,183,106,126,285,726,251,258,137,135,163,179,95,195,135,315,106,279,88,196,56,240,196,137,109,397,69,150,147,194,256,55,194,255,164,120,99,300,148,151,231,99,84,205,157,90,114,152
1986,216,15,201,288,306,273,202,213,118,134,312,750,276,260,145,146,171,183,99,220,143,324,106,280,91,227,59,253,205,137,124,464,76,158,158,216,259,54,209,298,178,129,103,330,151,160,233,105,82,216,148,78,120,174
1987,230,16,214,314,328,307,232,233,147,143,339,881,270,285,143,146,174,194,103,236,175,354,105,283,101,260,60,260,225,150,125,433,82,208,175,229,252,57,225,300,202,138,100,351,163,160,234,109,93,218,135,78,128,192
