Year,U.S. total,Federal,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1978,152039,14724,137315,2572,258,1620,1958,11910,1465,1954,641,2788,8371,5373,191,617,6475,2547,943,1609,2465,2438,426,4336,1331,6285,1342,1256,2565,459,537,829,213,3647,742,8482,6640,152,7085,2210,1932,3247,228,3117,335,2818,12594,391,263,3229,2249,414,1541,225
1979,161280,14120,147160,2597,311,1641,2189,15285,1270,2995,369,1310,8526,5499,187,598,6697,2991,1099,1555,2665,2170,472,4453,1349,5501,1367,2365,2549,388,495,924,205,3680,775,9021,7885,148,8079,2760,2261,3319,256,3492,326,3190,13357,430,225,3567,2008,553,1539,267
1980,171956,12598,159358,3766,459,2082,2311,14342,1342,3031,398,1346,9711,6534,205,600,8025,3645,1147,1628,2888,3050,490,4526,1483,5488,1117,1880,3019,393,810,1052,211,3863,636,9715,7604,193,9233,2532,2163,3930,303,3942,376,3326,15349,478,354,3521,2070,596,1948,247
1981,199943,12830,187113,4025,461,2759,2419,17817,1668,2532,686,1429,12864,7449,237,742,11884,4311,1567,1823,3236,2886,444,5189,1845,5341,1265,2804,3302,518,947,1152,271,4330,1121,12160,8677,208,10439,2733,2101,4850,324,4105,395,4242,16712,684,368,3910,2415,814,2341,311
1982,218087,14818,203269,4425,541,2910,2323,21941,1872,2680,727,1734,14144,9448,231,794,9602,4336,1644,2208,3072,3798,550,4596,2149,5588,1501,3047,3482,497,668,1387,267,4521,1007,12123,8864,249,11108,3497,2370,5021,404,4035,469,3752,21034,682,294,5795,2419,789,2304,370
1983,237925,16745,221180,4605,711,3288,2173,26836,2168,2710,650,1582,17087,9788,319,858,10525,4521,1677,2280,3594,4440,604,4382,2079,5931,1468,2762,3748,431,586,1465,266,5996,1306,14141,8474,310,10940,4036,2607,5345,489,3922,525,4143,22828,738,250,5233,2463,902,2649,349
1984,234293,16013,218280,4701,727,3386,2179,28796,2167,2689,532,1764,13064,9558,430,841,9912,4066,1758,2071,2822,4224,474,4008,2285,6494,1485,2846,4031,504,610,1426,285,5317,1473,14149,8541,240,10460,4018,2864,5625,420,4357,587,4541,23419,995,340,4781,2317,838,2528,335
1985,258514,17916,240598,4370,875,3989,2301,37216,2397,2654,743,2241,15671,9674,433,854,10657,4318,1964,2181,3034,3845,497,3937,2476,7060,1616,2837,4502,520,686,1702,330,5841,1730,14647,8837,241,10986,4071,2974,5755,481,4755,618,4641,26728,899,387,5073,2513,864,2589,388
1986,291903,18501,273402,3962,1097,4515,2280,48236,2721,2575,797,2133,19877,10430,536,866,11327,4431,2117,2322,3126,4395,599,4366,2617,7621,1638,2907,5043,534,788,2042,396,5940,1782,18200,9192,294,11538,4642,3431,5862,501,5401,728,3661,32632,940,390,5796,2426,614,2791,347
1987,326228,18709,307519,4543,952,5370,3152,59009,3155,3058,903,2835,26321,12569,464,898,11387,4742,2303,2484,2838,5992,684,4801,3078,8523,1797,2936,5722,584,808,1963,427,7116,1593,19138,10218,313,12003,5203,3916,5940,410,5533,666,2714,34369,886,420,6346,2500,745,2868,324
1988,365724,18696,347028,5101,1026,5304,2831,72771,3019,4554,915,3656,35053,10457,482,1054,10886,5114,2479,2889,3902,5611,620,5535,3314,10555,2160,3106,6701,533,1042,2505,509,7578,2024,22245,12132,304,13778,5668,4118,6730,631,5662,645,2182,34446,1061,462,6944,2977,646,2775,336
1989,447388,23491,423897,6510,1062,6055,3517,86292,3253,9251,1075,3562,44206,14947,455,1158,14465,5245,2818,3276,4351,6655,955,7289,3943,12683,2384,3554,8727,603,1231,3023,567,9601,1981,26968,15307,336,18080,6583,4705,8474,735,6512,808,4563,36698,1348,493,9140,3956,851,3252,394
1990,460769,-,460769,7031,1389,6518,4255,94650,3001,11435,1008,3505,42789,17056,819,1117,18138,5227,2855,3568,4616,7432,881,8061,4224,12431,2363,3725,8148,633,1235,3082,667,10523,1885,28447,17995,362,18989,6069,5874,8725,804,6720,842,4775,45653,1450,633,10035,4446,786,3440,457
1991,466285,-,466285,7683,1341,7427,4553,95990,3673,11119,1122,3398,37010,15720,1747,1382,18700,5912,2708,3429,5026,8281,903,8430,4241,12610,2551,3854,8753,609,1392,3120,813,11827,1596,27614,21416,336,21873,5947,6091,9299,783,6883,751,6262,37795,1598,387,12494,4758,685,3968,425
1992,480676,-,480676,7967,1483,7351,4580,93383,4089,9105,1209,3245,34405,16310,1532,1432,19746,6496,3034,3669,5735,10279,822,9019,4509,12981,2909,4434,8867,652,1398,3174,904,12324,2195,29803,24630,308,23243,6841,4443,9754,776,8038,838,6648,39840,1660,412,13213,5321,574,4696,400
1993,500335,25235,475100,8454,2411,8050,3818,98160,4127,6710,1168,4280,31993,15080,1815,1745,20953,6798,3120,3828,5702,11883,749,8669,3526,11308,3035,4727,9205,676,1457,3134,941,12524,2263,31422,25372,350,22408,6625,3524,9657,817,8073,797,6578,29916,1919,436,12469,5281,842,5814,491
1994,523577,27271,496306,8287,-,9218,4345,104358,4607,1512,1128,5235,29538,15174,1838,1628,22452,7137,3403,3999,6562,12212,771,9426,4631,11143,3140,4321,10481,838,1595,3652,1038,13076,2251,29851,23651,400,23312,6677,3025,11146,888,7778,855,6444,44849,1982,423,12591,5603,856,6433,546
1995,549313,27337,521976,8692,1996,8662,5248,115718,4892,1251,1272,4170,26016,15227,1803,2352,23369,8283,3414,4105,6860,12781,705,9568,3458,11736,3322,5042,10968,839,1643,3833,954,14904,2296,30947,19527,472,22666,7213,3572,10750,846,8154,964,6966,55424,2393,526,11490,6021,1107,6943,616
1996,542863,30239,512624,9465,2336,9019,5158,122250,5713,1103,1442,5469,23950,15579,2276,2513,23529,8785,3482,4232,7568,14063,795,9599,3084,12707,3304,5428,12208,1004,1705,4230,981,14999,2795,29563,14180,580,21708,7092,3637,9715,1002,8183,1134,8201,38716,2579,742,9823,6330,1044,7019,605
1997,572281,33906,538375,9301,2646,9172,5705,131962,5987,2024,1720,5587,25387,15275,2814,2316,25655,9826,3729,4167,8123,15592,818,10279,3037,12892,3597,5612,12576,1164,1632,4533,1024,16211,2976,27737,12172,584,20133,7393,3202,9359,971,8173,1159,9201,44417,2831,952,10928,6605,1065,7471,683
1998,603510,38219,565291,7492,2605,10108,6189,134068,6541,1802,1853,5388,25308,15409,3455,2621,26470,10547,4079,4509,7901,16948,762,10967,2836,13358,4307,6626,12900,1254,1771,4773,987,16801,2303,27211,11292,764,20630,7181,3637,10505,971,8866,1328,8691,59340,3069,728,10152,7012,1440,8785,751
1999,611676,41972,569704,-,2405,9021,6045,130976,6702,6306,2624,5733,32225,19871,1533,2307,27499,10564,3858,4890,6867,15981,731,10987,2373,12075,4557,5859,13526,1277,1603,4479,1067,15106,1826,28181,10198,715,21302,7635,4015,11082,6238,8261,1395,13597,56361,3035,807,8240,6795,1308,8868,798
2000,654534,43732,610802,6296,2427,9560,6941,129640,7036,6185,2709,3156,35683,17373,1594,3386,29344,11876,4656,5002,8116,15735,751,10327,2062,12169,4406,5796,14454,1202,1688,4929,1051,13653,3161,27601,9848,605,23780,7426,4059,11777,3701,8460,1400,13675,84356,3270,984,9791,7094,1577,8396,638
2001,638978,45140,593838,7428,2142,10000,6977,126895,7252,6576,2417,-,35064,17342,1700,2699,35289,13012,4826,4502,7450,15667,820,10399,2215,13105,4620,6880,15183,1472,1783,4639,1171,14422,2545,25473,9433,747,24399,7872,4473,12811,3506,9218,1556,14295,61276,2864,972,11310,7185,1783,7442,731
2002,660576,48144,612432,7033,2142,11468,7080,124179,7953,7169,4294,-,36500,18078,1892,3049,34467,14001,5516,4881,8731,15079,1026,10027,1833,14411,5265,5655,16637,1510,1934,4844,1113,14576,2017,26216,9423,768,25689,8269,5041,13401,3760,9834,1819,15022,63446,3064,1785,11310,8305,2161,7990,769
2003,686471,52288,634183,9524,2805,11957,7132,125312,7998,6571,2212,-,39500,17575,1832,3168,36063,15615,5545,4605,9595,15353,931,10170,2185,12659,5914,8455,17151,1910,1959,4865,1139,14398,4160,26040,9494,992,26506,8139,5095,14039,3881,9934,1915,13059,69921,3301,1987,11700,9034,2097,8000,791
2004,697066,52982,644084,8278,-,11343,8035,123537,8634,6577,1648,-,40386,20140,1677,4392,39293,16029,4364,4519,13009,15512,655,10330,2278,13248,6604,9187,18281,2182,2085,6548,1099,13886,4279,24664,10411,1008,28196,9003,5378,14319,755,9850,2304,13149,66883,3275,2208,11645,11894,2267,8071,769
2005,730141,56057,674084,9723,-,12440,8053,129559,9899,6513,1422,-,46531,19228,1662,4075,39887,16957,6397,4892,13324,14801,521,10113,2597,13145,7112,8923,19110,2390,2264,5648,1271,14251,4264,24199,10454,1088,29121,8756,6436,16222,911,9446,2664,14251,71889,3600,2257,11989,12683,2600,7774,772
2006,747031,57495,689536,10039,-,13954,5992,138523,10468,6904,1546,-,36295,22347,1455,4129,40185,17671,6565,5063,14051,15067,609,10295,2686,14643,7253,9918,18429,2304,1939,6108,1312,13980,4337,25710,10594,1101,31866,8508,5484,17106,876,9597,2429,13655,71927,3532,2340,12834,15540,2830,8703,837
