Year,U.S. total,Federal,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1978,142665,17414,125251,2726,235,1352,1878,9701,1274,1651,349,1555,7231,6003,106,582,7084,2396,977,1518,2710,1856,505,4315,1148,5139,1182,1202,2185,344,577,627,190,3602,693,7688,7311,178,6752,2041,1963,3274,230,2757,329,2439,10488,265,269,2468,1818,438,1455,195
1979,154958,18584,136374,2744,216,1638,1872,13549,1213,2731,356,1559,9978,4615,134,572,6686,2131,945,1617,2358,1848,450,4407,1151,5382,1223,1618,2524,301,596,713,170,3563,805,8342,6705,148,7783,2657,1950,3266,220,3484,292,2427,11406,357,258,3245,1918,542,1494,215
1980,158331,14788,143543,3207,268,1469,2366,12346,1234,3035,424,1503,8742,6155,140,614,8687,2641,894,1412,2970,1831,484,4408,1031,5154,1217,1999,2705,364,603,769,199,3852,728,8934,6836,146,9104,2137,2102,3537,250,3610,304,2880,11974,504,333,3063,1927,590,1645,216
1981,163085,11773,151312,2908,271,1874,2045,13060,1542,2356,507,1483,9808,6941,104,600,9709,3021,1360,1540,2656,2404,366,3663,1065,5182,1237,2090,2550,425,702,856,199,3039,1065,8299,8335,175,8880,2154,1928,3637,249,3464,343,3319,15111,466,332,3871,1452,515,1905,249
1982,175607,13420,162187,2830,358,2027,1724,16009,1578,2216,449,1487,10133,7670,110,701,9666,3584,1481,1902,3001,2319,568,3251,1295,5486,1400,2175,2497,414,590,814,221,3403,907,9624,8407,191,8837,2406,1819,3803,308,3394,378,3730,16392,619,258,5400,1474,639,2019,223
1983,213198,14484,198714,3225,505,2243,1893,22140,1967,2280,568,1485,18780,8747,157,716,8940,3829,1687,1658,2865,2635,627,3459,1864,6472,1418,2652,2884,449,636,1024,231,4776,1057,11470,9620,236,10254,3060,2536,4043,388,3443,469,3576,23727,677,316,5281,2108,811,2498,332
1984,209655,15108,194547,3861,501,2506,1953,25015,2153,2527,579,1475,11714,9230,164,776,8373,3942,1734,1549,2774,3445,481,3588,1962,6312,1422,2354,3345,438,603,1128,183,4139,1295,11518,7626,214,9789,3617,2470,4306,404,4111,492,5431,21991,732,324,4261,2071,866,2471,332
1985,220485,13497,206988,3694,620,3354,2168,30091,2265,2262,572,1400,13767,8977,339,759,9144,3721,1965,1650,2872,3619,377,4068,1991,3597,1436,2565,3399,356,513,1425,230,4868,1544,13057,8076,241,8606,3486,2687,4612,399,4110,489,4790,25881,776,319,4195,2433,719,2151,353
1986,248909,15203,233706,3197,960,3647,2189,38247,2337,2272,591,1596,15905,9232,432,770,10519,4217,2024,1688,2815,4007,581,4117,2526,4463,1519,2572,4481,539,651,1445,296,5243,1600,14235,8839,308,9813,3286,3009,4809,441,4327,629,3209,31615,759,381,5032,2721,856,2508,251
1987,290301,16123,274178,3480,892,3795,2411,51709,2109,2703,731,1814,26029,10371,433,935,10983,4035,2335,2028,2636,4920,660,4440,2661,4908,1694,2742,4922,512,783,2070,341,5477,1317,16612,10493,294,10716,5243,2975,4872,422,4730,579,2689,34061,765,350,6015,2971,741,2505,269
1988,320460,15429,305031,5317,936,4219,2755,63401,2031,4417,863,2057,32612,9889,496,909,9663,4454,2460,2806,3215,4774,637,4879,2859,6177,1919,2558,5876,467,894,2065,354,6605,1831,18468,12028,269,11534,4871,3541,5090,438,4635,758,2069,32776,959,403,5997,3282,620,2576,322
1989,369032,18228,350804,5344,1002,4869,3174,75136,2033,7807,959,2021,38966,12950,358,923,10839,4290,2439,3592,3204,5682,740,5503,2948,8011,2063,3111,6967,550,1059,2786,419,7052,1868,20141,14969,346,13986,5422,3917,5788,442,4631,569,3822,33124,942,390,6811,2896,771,2818,354
1990,405374,-,405374,5308,1442,5501,4090,84758,3014,10278,990,2896,38551,14539,868,1014,15312,4831,2640,3421,3859,6149,829,6722,3408,9552,2286,3338,7121,535,1231,2878,486,8890,1856,24547,16885,331,17682,5409,5473,6759,690,5338,758,4976,39665,1356,567,8925,3385,790,2880,365
1991,421687,-,421687,6645,1348,6312,4085,91465,3020,10593,880,3490,34999,13852,1689,1197,17139,5668,2788,3302,4222,6901,836,7362,2957,10037,2251,3283,7800,564,1297,2931,622,9509,1671,23934,20927,330,17942,4873,5912,8113,628,5873,719,5170,36138,1471,360,10268,3596,720,3587,411
1992,430198,-,430198,7404,1379,6557,4078,86238,3542,9163,947,3187,32661,13957,1374,1312,17130,6295,2950,3549,5157,9448,884,8022,3127,10036,2542,4562,8495,638,1370,2946,661,13136,2054,24830,22957,320,20554,5343,4756,8259,806,7612,721,6178,30315,1577,321,11902,4499,393,3634,420
1993,436684,18846,417838,7244,1824,6834,4007,87917,3688,5516,1096,3258,27223,12145,1683,1365,17974,6246,3198,4124,5625,10265,793,8316,3700,10779,2657,3861,9306,638,1423,3040,939,11341,2058,27451,23985,332,20126,4987,3626,8639,815,7773,727,5492,20246,1733,395,10842,4824,706,4646,410
1994,437777,21259,416518,7371,-,7402,4362,98885,3428,1668,1184,5939,25072,9711,1754,1387,20374,6627,3552,3355,5906,10537,814,8674,3105,9374,2826,3312,8699,609,1389,2784,793,12252,2099,27143,21984,345,19962,6434,2803,8988,749,7498,695,4798,18223,1826,348,8426,5188,733,4659,472
1995,477654,22514,455140,7618,1894,7430,4465,105730,4625,1405,1134,4754,19158,13089,1596,1839,22297,7199,3593,3425,5851,11616,756,8985,3384,10560,3051,3424,9563,609,1308,3112,967,12455,1895,29023,14662,429,19906,5674,3028,6840,876,7299,831,6077,45850,1993,503,11018,5240,945,5745,414
1996,492069,24876,467193,8432,2043,7837,4690,112132,4363,1253,1329,5793,23963,14756,1896,2009,22342,8095,3712,3522,6697,12395,849,9064,2949,11075,2992,4547,9421,810,1529,3511,934,14575,2218,28318,14319,471,20192,5553,2855,7708,809,7454,933,7694,34085,2077,1044,10018,5415,797,5261,457
1997,517432,27518,489914,8682,2393,8386,4719,122209,4967,1443,1584,6251,24517,13277,2303,2236,23687,8923,3838,4007,6431,13091,654,10202,3080,10216,3449,5085,10538,876,1516,3834,931,15340,3047,28230,12365,519,18285,6475,2937,9012,895,7665,980,8072,36449,2528,1027,10464,5916,650,5141,592
1998,549634,29462,520172,7016,2615,8559,5524,129449,5683,1514,1585,7198,22664,12131,3225,2469,24205,9263,4239,4239,7505,13937,588,10492,2900,12068,4056,4418,11736,1066,1516,4146,986,14041,2252,26185,11615,645,20198,6846,2613,9159,893,7903,1152,7504,55181,2945,695,9001,6081,1103,6464,704
1999,574624,31816,542808,8194,2504,8982,5403,129528,5346,5283,2180,5498,29889,17173,1332,1725,25995,10317,4715,4503,6509,15241,698,10327,2915,11243,4475,4136,12267,1044,1558,4536,996,14734,1997,26652,10710,662,22910,6140,3185,10028,1347,7942,1311,12361,52318,2317,839,7705,6344,1240,6895,659
2000,635094,35259,599835,7136,2599,9100,6308,129621,5881,5918,2260,3238,33994,14797,1379,2697,28876,11053,4379,5231,7733,14536,677,10004,2889,10874,4244,4940,13346,1031,1503,4374,1044,15362,3383,28828,9688,598,24793,6628,3371,11759,3223,8676,1327,13893,86773,2897,946,9148,6764,1261,8158,697
2001,628626,38370,590256,7905,2041,9053,6613,129982,6634,6331,2330,-,34015,15758,1581,2539,36313,12207,5357,4270,8234,15031,723,10050,2482,11928,4250,5685,13892,1246,1738,4480,1030,16064,3194,28101,8935,715,24953,8265,3668,10376,3197,8627,1380,12690,66228,3151,1069,9816,6957,1422,7027,723
2002,633947,42339,591608,7472,2041,10056,7640,119683,6588,6209,4073,-,33728,16608,1735,2855,36162,13337,5748,4524,8313,14847,799,9617,2290,12771,4706,5592,15127,1518,1840,4734,1052,14827,5820,26829,8929,770,25322,8375,4339,10628,3312,8604,1797,13541,64720,2864,1857,9816,7401,1807,7699,686
2003,656574,44135,612439,10167,2736,10391,7120,118646,7113,6890,2129,-,34679,17333,1504,3033,35372,14146,6074,4405,9208,13841,782,10207,2302,13910,5437,7933,16967,1642,1953,4800,1188,15043,3943,27467,9116,870,27369,8164,4483,13268,3684,9829,1980,13768,65169,3088,1985,11606,9067,1881,8107,644
2004,672202,46624,625578,9156,2726,10190,7457,117762,8001,6707,2013,-,36908,18211,1667,3480,38646,15100,6049,4683,10740,15009,636,10531,2391,13723,5849,8607,17307,1897,2029,4715,1080,14418,4090,26043,9315,917,28170,8432,4910,14396,828,10060,2428,13295,65800,3050,2261,11148,11547,1946,8596,658
2005,701632,48323,653309,10472,2702,11932,9093,121730,8711,6386,1577,-,42241,17088,1415,3557,39034,16478,5814,4785,12356,14975,574,10673,2192,12522,7126,9156,18954,2056,1970,4832,1183,13649,4079,25360,9750,999,28061,8405,6216,15202,769,9712,2644,14479,71088,3250,2260,12180,11918,2147,8852,705
2006,709874,47920,661954,11283,2719,12209,5668,130060,9441,6019,1470,-,35454,17468,1500,3808,39280,16410,5834,5318,13381,14618,501,10176,2254,12641,7591,10123,20092,2262,2041,4700,1187,13986,4274,25079,9976,1039,28552,7867,5138,15648,967,9208,3137,15298,70413,3469,2329,12794,15363,2391,8749,769
2007,721161,48764,672397,11079,3286,12560,6045,135920,10604,6056,1905,-,28705,18774,1518,3850,35737,17099,5718,4966,13819,14984,1090,10123,2248,14685,7971,8455,19323,2176,1952,4904,1179,14358,4507,27009,10074,977,29236,8486,5080,16340,884,9461,3259,15537,73023,3393,2345,12559,16488,2969,8903,778
2008,735651,52348,683303,11556,3741,13192,6610,136925,10616,6404,1617,-,37277,19463,1795,3891,35780,18308,5557,4655,15413,14991,720,10383,2667,13621,7936,7817,18864,2117,1963,5278,1507,13885,4013,27482,10615,1051,28552,7915,5055,15618,1086,9506,3102,15414,72168,3400,2241,13194,15061,3126,9391,764
2009,729749,50720,679029,12231,3196,13854,6990,128869,10858,6850,1697,-,37167,16161,1915,3743,38034,19699,4648,4721,14138,14924,1141,10807,2850,18197,7777,9285,18097,2212,2107,5967,1460,12860,3650,25481,11495,1003,26949,8004,5422,14630,1246,9321,3079,15762,72320,3498,1973,13168,17035,2943,8771,824
2010,708677,52487,656190,12070,3068,13500,6664,121918,10558,6095,1681,-,32649,16745,1764,4264,31055,19911,4367,4553,15962,17262,1176,9387,2908,17033,7882,8694,17799,2152,2123,6036,1584,12821,3487,25365,11539,1006,24495,7903,5290,16781,1113,8716,2857,14735,71497,3109,2130,12989,17060,3009,8640,788
2011,691072,55239,635833,11052,3599,13149,7252,109467,9367,6379,3600,-,34673,15309,1404,4079,31155,18422,5105,4671,14571,16580,1049,9829,2484,14374,7734,8197,17823,2101,2391,5910,1881,11485,3529,24460,11878,1013,22899,7694,4567,17698,960,7912,2732,14961,74544,3206,2062,12345,16412,3257,7825,787
2012,636716,56037,580679,11253,3774,13000,6298,47454,10919,6014,4012,-,33661,14021,1631,4617,30108,18555,5221,4795,16215,17104,1108,10347,2871,13199,7730,7725,17957,2089,2688,5557,1555,10817,3371,24224,12327,1069,21628,6947,5023,18805,967,7309,1959,15955,82130,3063,1963,11568,18181,3293,7724,878
2013,623990,54785,569205,11488,3774,12931,6541,36353,10220,5177,4251,-,32855,18226,1615,3761,31370,17959,5202,5133,16871,17646,971,9504,2855,14307,7808,8201,18790,2347,2583,5556,1633,10766,3345,23382,13829,1173,21235,7374,5048,19632,885,6716,1820,16348,74093,2988,1752,11880,20861,3780,5475,895
